year,tag,number,year_total
2008,crontab,5,58390
2008,crop,2,58390
2008,cross-browser,83,58390
2008,cross-compiling,4,58390
2008,cross-domain,15,58390
2008,cross-platform,113,58390
2008,crosstab,2,58390
2008,crud,20,58390
2008,cruisecontrol.net,73,58390
2008,cryptography,65,58390
2008,crystal-reports,109,58390
2008,csrf,8,58390
2008,css,933,58390
2008,css3,7,58390
2008,css-float,18,58390
2008,css-position,6,58390
2008,css-selectors,23,58390
2008,css-tables,14,58390
2008,c-strings,2,58390
2008,csv,93,58390
2008,ctypes,7,58390
2008,cube,3,58390
2008,cucumber,2,58390
2008,cuda,18,58390
2008,curl,43,58390
2008,currency,28,58390
2008,cursor,14,58390
2008,curve-fitting,1,58390
2008,custom-attributes,3,58390
2008,custom-controls,17,58390
2008,customization,26,58390
2008,cut,2,58390
2008,cvs,89,58390
2008,cxf,4,58390
2008,cycle,4,58390
2008,cygwin,61,58390
2008,cython,1,58390
2008,d,16,58390
2008,daemon,17,58390
2008,dao,9,58390
2008,dashboard,5,58390
2008,data-access-layer,43,58390
2008,data-analysis,2,58390
2008,data-annotations,1,58390
2008,database,1275,58390
2008,database-administration,5,58390
2008,database-connection,27,58390
2008,database-design,304,58390
2008,database-migration,1,58390
2008,database-performance,2,58390
2008,database-schema,2,58390
2008,data-binding,250,58390
2008,datacontext,10,58390
2008,data-conversion,4,58390
2008,datagrid,61,58390
2008,datagridview,99,58390
2008,data-manipulation,2,58390
2008,datamapper,8,58390
2008,data-mining,8,58390
2008,data-modeling,14,58390
2008,dataset,90,58390
2008,datasource,13,58390
2008,data-structures,184,58390
2008,datatable,57,58390
2008,datatemplate,12,58390
2008,data-visualization,8,58390
2008,data-warehouse,12,58390
2008,date,173,58390
2008,datediff,10,58390
2008,date-format,5,58390
2008,date-formatting,1,58390
2008,datepicker,12,58390
2008,datetime,221,58390
2008,datetime-format,2,58390
2008,datetimepicker,4,58390
2008,db2,53,58390
2008,dbi,14,58390
2008,ddl,19,58390
2008,deadlock,25,58390
2008,debian,32,58390
2008,debugging,540,58390
2008,decimal,28,58390
2008,declaration,14,58390
2008,decode,4,58390
2008,decoding,2,58390
2008,decorator,18,58390
2008,default,14,58390
2008,default-value,7,58390
2008,definition,17,58390
2008,delay,2,58390
2008,delegates,73,58390
2008,delete-file,1,58390
2008,delete-row,1,58390
2008,delimiter,3,58390
2008,delphi,512,58390
2008,delphi-7,15,58390
2008,dependencies,81,58390
2008,dependency-injection,68,58390
2008,dependency-management,4,58390
2008,dependency-properties,12,58390
2008,deployment,289,58390
2008,deprecated,11,58390
2008,depth-first-search,2,58390
2008,derby,7,58390
2008,design,482,58390
2008,designer,25,58390
2008,design-patterns,405,58390
2008,desktop,52,58390
2008,desktop-application,31,58390
2008,destructor,23,58390
2008,detection,3,58390
2008,development-environment,65,58390
2008,devexpress,15,58390
2008,device,16,58390
2008,device-driver,3,58390
2008,diagram,37,58390
2008,dialog,32,58390
2008,dicom,2,58390
2008,dictionary,85,58390
2008,diff,72,58390
2008,digital-signature,4,58390
2008,dijkstra,2,58390
2008,direct3d,34,58390
2008,directive,1,58390
2008,directory,54,58390
2008,directory-structure,15,58390
2008,directshow,20,58390
2008,directx,52,58390
2008,directx-11,1,58390
2008,disassembly,5,58390
2008,dispatcher,4,58390
2008,dispose,28,58390
2008,distance,4,58390
2008,distinct,14,58390
2008,distributed,38,58390
2008,distributed-computing,4,58390
2008,distribution,12,58390
2008,division,5,58390
2008,django,299,58390
2008,django-admin,10,58390
2008,django-authentication,3,58390
2008,django-forms,13,58390
2008,django-models,37,58390
2008,django-orm,1,58390
2008,django-queryset,1,58390
2008,django-templates,22,58390
2008,django-urls,7,58390
2008,django-views,1,58390
2008,dll,195,58390
2008,dllimport,6,58390
2008,dns,102,58390
2008,doctrine,9,58390
2008,doctrine2,1,58390
2008,doctype,9,58390
2008,document,12,58390
2008,documentation,98,58390
2008,docx,9,58390
2008,dojo,35,58390
2008,dom,179,58390
2008,domain-driven-design,45,58390
2008,dompdf,1,58390
2008,dos,29,58390
2008,dotnetnuke,28,58390
2008,dotnetopenauth,6,58390
2008,double,23,58390
2008,do-while,1,58390
2008,download,57,58390
2008,doxygen,10,58390
2008,dql,1,58390
2008,drag-and-drop,47,58390
2008,draggable,7,58390
2008,draw,3,58390
2008,drawing,33,58390
2008,dreamweaver,9,58390
2008,driver,10,58390
2008,drools,4,58390
2008,dropbox,2,58390
2008,drop-down-menu,69,58390
2008,drupal,52,58390
2008,drupal-6,6,58390
2008,drupal-modules,1,58390
2008,drupal-views,8,58390
2008,dry,10,58390
2008,dsl,29,58390
2008,dtd,21,58390
2008,dto,3,58390
2008,dump,12,58390
2008,duplicates,19,58390
2008,dynamic,64,58390
2008,dynamic-linking,10,58390
2008,dynamic-programming,3,58390
2008,dynamics-crm,19,58390
2008,dynamic-sql,7,58390
2008,each,3,58390
2008,ear,2,58390
2008,ebay,2,58390
2008,echo,4,58390
2008,eclipse,509,58390
2008,eclipse-cdt,14,58390
2008,eclipselink,1,58390
2008,eclipse-plugin,60,58390
2008,eclipse-rcp,11,58390
2008,e-commerce,18,58390
2008,edit,2,58390
2008,editor,141,58390
2008,ehcache,6,58390
2008,ejabberd,1,58390
2008,ejb,32,58390
2008,ejb-3.0,16,58390
2008,el,8,58390
2008,element,5,58390
2008,elements,3,58390
2008,elementtree,5,58390
2008,elf,8,58390
2008,elisp,27,58390
2008,emacs,197,58390
2008,email,270,58390
2008,embed,27,58390
2008,embedded,134,58390
2008,embedded-resource,9,58390
2008,emulation,23,58390
2008,encapsulation,19,58390
2008,encode,6,58390
2008,encoding,138,58390
2008,encryption,174,58390
2008,endianness,12,58390
2008,enterprise-architect,1,58390
2008,enterprise-library,42,58390
2008,entity,8,58390
2008,entity-framework,150,58390
2008,entitymanager,1,58390
2008,entity-relationship,16,58390
2008,enumeration,29,58390
2008,enums,121,58390
2008,environment,24,58390
2008,environment-variables,25,58390
2008,eof,1,58390
2008,equality,12,58390
2008,equals,19,58390
2008,equation,8,58390
2008,erb,7,58390
2008,erlang,47,58390
2008,error-handling,116,58390
2008,esb,15,58390
2008,escaping,47,58390
2008,ethernet,8,58390
2008,etl,12,58390
2008,eval,14,58390
2008,event-handling,54,58390
2008,event-listener,3,58390
2008,event-log,16,58390
2008,events,276,58390
2008,exc-bad-access,1,58390
2008,excel,399,58390
2008,excel-2007,15,58390
2008,excel-formula,8,58390
2008,excel-vba,138,58390
2008,exception,378,58390
2008,exception-handling,92,58390
2008,exchange-server,57,58390
2008,exchangewebservices,5,58390
2008,exe,12,58390
2008,exec,10,58390
2008,executable,22,58390
2008,executable-jar,9,58390
2008,execute,1,58390
2008,execution,3,58390
2008,executorservice,4,58390
2008,exif,9,58390
2008,exists,5,58390
2008,exit,7,58390
2008,expect,3,58390
2008,explode,2,58390
2008,export,47,58390
2008,export-to-excel,11,58390
2008,expression,21,58390
2008,expression-blend,18,58390
2008,expressionengine,2,58390
2008,expression-trees,22,58390
2008,extend,3,58390
2008,extends,3,58390
2008,extension-methods,59,58390
2008,extern,3,58390
2008,external,11,58390
2008,extjs,27,58390
2008,extract,17,58390
2008,f#,98,58390
2008,facebook,37,58390
2008,facelets,10,58390
2008,factory,25,58390
2008,factory-pattern,1,58390
2008,fade,5,58390
2008,fastcgi,28,58390
2008,fatal-error,3,58390
2008,favicon,13,58390
2008,fedora,8,58390
2008,feed,8,58390
2008,fetch,1,58390
2008,ffmpeg,12,58390
2008,fft,6,58390
2008,fgets,2,58390
2008,fibonacci,4,58390
2008,fiddler,4,58390
2008,field,24,58390
2008,file,331,58390
2008,file-handling,1,58390
2008,file-io,154,58390
2008,filemaker,2,58390
2008,filenames,13,58390
2008,filepath,4,58390
2008,file-permissions,23,58390
2008,filereader,2,58390
2008,filesize,9,58390
2008,filestream,8,58390
2008,filesystems,134,58390
2008,file-transfer,6,58390
2008,file-upload,63,58390
2008,filter,25,58390
2008,filtering,21,58390
2008,final,9,58390
2008,finance,9,58390
2008,find,16,58390
2008,firebird,22,58390
2008,firebug,33,58390
2008,firefox,267,58390
2008,firefox-addon,18,58390
2008,firewall,17,58390
2008,fixed,1,58390
2008,flags,10,58390
2008,flash,459,58390
2008,flex,461,58390
2008,flex3,18,58390
2008,flex-lexer,5,58390
2008,flickr,10,58390
2008,floating-point,83,58390
2008,flot,2,58390
2008,fluent-nhibernate,21,58390
2008,fluid,1,58390
2008,focus,35,58390
2008,folder,9,58390
2008,folders,19,58390
2008,font-face,1,58390
2008,fonts,104,58390
2008,font-size,12,58390
2008,footer,6,58390
2008,fopen,7,58390
2008,foreach,29,58390
2008,foreign-key-relationship,5,58390
2008,foreign-keys,38,58390
2008,fork,18,58390
2008,for-loop,26,58390
2008,format,32,58390
2008,formatting,112,58390
2008,forms,196,58390
2008,forms-authentication,36,58390
2008,form-submit,5,58390
2008,formula,4,58390
2008,fortran,15,58390
2008,fpdf,3,58390
2008,fpga,5,58390
2008,frame,5,58390
2008,frame-rate,5,58390
2008,frameworks,169,58390
2008,free,1,58390
2008,freebsd,15,58390
2008,freemarker,12,58390
2008,freepascal,2,58390
2008,freeze,4,58390
2008,frequency,5,58390
2008,friend,11,58390
2008,frontend,10,58390
2008,fstream,7,58390
2008,ftp,96,58390
2008,fullscreen,13,58390
2008,full-text-search,80,58390
2008,function,127,58390
2008,functional-programming,153,58390
2008,functional-testing,4,58390
2008,function-pointers,15,58390
2008,functor,5,58390
2008,future,2,58390
2008,fwrite,2,58390
2008,g++,21,58390
2008,gallery,2,58390
2008,garbage-collection,93,58390
2008,gaussian,3,58390
2008,gawk,5,58390
2008,gcc,147,58390
2008,gd,19,58390
2008,gdal,1,58390
2008,gdb,53,58390
2008,gdi,30,58390
2008,gdi+,48,58390
2008,gem,15,58390
2008,generator,18,58390
2008,generics,345,58390
2008,genetic-algorithm,7,58390
2008,geocoding,16,58390
2008,geolocation,24,58390
2008,geometry,71,58390
2008,geospatial,3,58390
2008,get,23,58390
2008,getelementbyid,1,58390
2008,getjson,1,58390
2008,getline,1,58390
2008,getter,5,58390
2008,getter-setter,2,58390
2008,gettext,6,58390
2008,gfortran,1,58390
2008,ghc,1,58390
2008,ghostscript,6,58390
2008,gif,11,58390
2008,gis,36,58390
2008,git,212,58390
2008,git-bash,1,58390
2008,git-branch,3,58390
2008,git-commit,4,58390
2008,githooks,1,58390
2008,github,8,58390
2008,gitignore,3,58390
2008,git-merge,4,58390
2008,git-rebase,1,58390
2008,git-submodules,2,58390
2008,git-svn,21,58390
2008,glassfish,17,58390
2008,glib,2,58390
2008,glibc,7,58390
2008,glob,7,58390
2008,global,11,58390
2008,globalization,40,58390
2008,global-variables,13,58390
2008,glsl,2,58390
2008,glut,14,58390
2008,gmail,31,58390
2008,gnome,12,58390
2008,gnu,18,58390
2008,gnu-make,5,58390
2008,gnupg,7,58390
2008,gnuplot,7,58390
2008,google-adwords,3,58390
2008,google-analytics,23,58390
2008,google-analytics-api,1,58390
2008,google-api,6,58390
2008,google-app-engine,66,58390
2008,google-apps,2,58390
2008,google-authentication,2,58390
2008,google-calendar,6,58390
2008,google-chrome,56,58390
2008,google-chrome-devtools,1,58390
2008,google-cloud-datastore,4,58390
2008,google-docs,5,58390
2008,google-maps,65,58390
2008,google-maps-api-2,1,58390
2008,google-maps-api-3,1,58390
2008,google-oauth,1,58390
2008,google-search,12,58390
2008,google-spreadsheet,2,58390
2008,googletest,3,58390
2008,google-translate,1,58390
2008,google-visualization,7,58390
2008,gorm,2,58390
2008,gpgpu,12,58390
2008,gps,17,58390
2008,gpu,10,58390
2008,gradient,6,58390
2008,grails,74,58390
2008,grammar,16,58390
2008,graph,36,58390
2008,graph-algorithm,2,58390
2008,graphics,186,58390
2008,graph-theory,45,58390
2008,graphviz,3,58390
2008,greasemonkey,27,58390
2008,greatest-n-per-group,9,58390
2008,grep,34,58390
2008,grid,30,58390
2008,grid-layout,2,58390
2008,gridview,132,58390
2008,groovy,89,58390
2008,group-by,14,58390
2008,group-concat,3,58390
2008,grouping,19,58390
2008,gsm,2,58390
2008,gsp,2,58390
2008,gtk,33,58390
2008,guid,42,58390
2008,gwt,56,58390
2008,gxt,1,58390
2008,gzip,27,58390
2008,h.264,2,58390
2008,h2,3,58390
2008,hadoop,10,58390
2008,haml,6,58390
2008,handle,5,58390
2008,handler,6,58390
2008,haproxy,3,58390
2008,hardware,100,58390
2008,has-and-belongs-to-many,6,58390
2008,hash,120,58390
2008,hashcode,10,58390
2008,hashmap,24,58390
2008,hashset,2,58390
2008,hashtable,35,58390
2008,haskell,77,58390
2008,has-many,8,58390
2008,has-many-through,2,58390
2008,haxe,6,58390
2008,hbase,4,58390
2008,hdf5,1,58390
2008,header,67,58390
2008,header-files,9,58390
2008,heap,21,58390
2008,heap-memory,3,58390
2008,heatmap,1,58390
2008,helper,6,58390
2008,heroku,2,58390
2008,hex,40,58390
2008,hibernate,222,58390
2008,hibernate-criteria,1,58390
2008,hibernate-mapping,1,58390
2008,hibernate-search,1,58390
2008,hidden,5,58390
2008,hide,3,58390
2008,hierarchical-data,5,58390
2008,hierarchy,17,58390
2008,highlight,4,58390
2008,histogram,2,58390
2008,history,18,58390
2008,hive,3,58390
2008,hlsl,2,58390
2008,homebrew,5,58390
2008,hook,37,58390
2008,hosting,61,58390
2008,hover,5,58390
2008,hql,19,58390
2008,href,8,58390
2008,hsqldb,8,58390
2008,html,1399,58390
2008,html5,14,58390
2008,html-agility-pack,3,58390
2008,html-email,2,58390
2008,html-entities,6,58390
2008,html-form,11,58390
2008,html-helper,19,58390
2008,html-lists,9,58390
2008,html-parsing,7,58390
2008,html-select,36,58390
2008,html-table,46,58390
2008,http,305,58390
2008,httpclient,6,58390
2008,httpd.conf,2,58390
2008,http-get,5,58390
2008,httphandler,19,58390
2008,http-headers,72,58390
2008,http-post,7,58390
2008,httprequest,6,58390
2008,httpresponse,3,58390
2008,https,74,58390
2008,http-status-code-301,3,58390
2008,http-status-code-403,3,58390
2008,http-status-code-404,21,58390
2008,http-status-codes,3,58390
2008,httpurlconnection,1,58390
2008,httpwebrequest,25,58390
2008,hudson,14,58390
2008,hyperlink,42,58390
2008,ibm,12,58390
2008,ibm-midrange,37,58390
2008,ibm-mq,6,58390
2008,icalendar,19,58390
2008,icons,63,58390
2008,ide,240,58390
2008,identifier,3,58390
2008,identity,20,58390
2008,idisposable,14,58390
2008,ienumerable,26,58390
2008,iframe,84,58390
2008,if-statement,21,58390
2008,ifstream,4,58390
2008,iis,420,58390
2008,iis-6,123,58390
2008,iis-7,85,58390
2008,imacros,1,58390
2008,image,280,58390
2008,image-gallery,4,58390
2008,imagemagick,14,58390
2008,image-manipulation,39,58390
2008,image-processing,79,58390
2008,image-resizing,1,58390
2008,image-uploading,4,58390
2008,imap,21,58390
2008,immutability,15,58390
2008,impersonation,17,58390
2008,implicit,7,58390
2008,implicit-conversion,3,58390
2008,import,66,58390
2008,importerror,1,58390
2008,include,62,58390
2008,increment,4,58390
2008,indentation,19,58390
2008,indexing,116,58390
2008,indexof,5,58390
2008,indy,2,58390
2008,infinite-loop,3,58390
2008,infopath,35,58390
2008,informix,22,58390
2008,infragistics,22,58390
2008,inheritance,190,58390
2008,ini,11,58390
2008,init,2,58390
2008,initialization,39,58390
2008,inline,5,58390
2008,inline-assembly,3,58390
2008,inner-classes,4,58390
2008,innerhtml,4,58390
2008,inner-join,10,58390
2008,innodb,20,58390
2008,inno-setup,14,58390
2008,input,44,58390
2008,inputstream,10,58390
2008,insert,36,58390
2008,install,25,58390
2008,installation,147,58390
2008,installer,137,58390
2008,installshield,25,58390
2008,instance,8,58390
2008,instance-variables,1,58390
2008,instantiation,12,58390
2008,instruments,2,58390
2008,int,17,58390
2008,integer,44,58390
2008,integration,44,58390
2008,integration-testing,41,58390
2008,intel,11,58390
2008,intellij-idea,32,58390
2008,intellisense,43,58390
2008,interactive,5,58390
2008,interface,138,58390
2008,interface-builder,27,58390
2008,internationalization,124,58390
2008,internet-explorer,336,58390
2008,internet-explorer-6,82,58390
2008,internet-explorer-7,70,58390
2008,internet-explorer-8,14,58390
2008,interop,141,58390
2008,interpolation,10,58390
2008,interpreter,23,58390
2008,interrupt,8,58390
2008,intersection,5,58390
2008,intervals,2,58390
2008,inversion-of-control,84,58390
2008,invoke,11,58390
2008,io,73,58390
2008,ioc-container,7,58390
2008,ioexception,4,58390
2008,ios,95,58390
2008,ios-simulator,13,58390
2008,iostream,19,58390
2008,ip,19,58390
2008,ipad,1,58390
