nacchoid,tobacco,nutrition,state,type,rurality,population,leader.tenure,fte
CT032,0,0,CT,city,urban,6612,5.210130215,2
CT033,NA,NA,NA,NA,NA,NA,NA,NA
CT034,0,0,CT,multi-city,urban,108981,3.578371048,12.5
CT037,0,1,CT,city,urban,34754,1.571526408,6
CT038,0,1,CT,city,urban,62610,17.81245804,25
CT041,NA,NA,NA,NA,NA,NA,NA,NA
CT043,NA,NA,NA,NA,NA,NA,NA,NA
"CT043
",NA,NA,NA,NA,NA,NA,NA,NA
CT045,0,0,CT,city,urban,6490,1.957563281,0.6
CT047,1,0,CT,multi-city,urban,121229,1.100615978,18
CT050,0,0,CT,city,urban,18259,20.82135582,1.1
CT051,0,0,CT,city,urban,58106,0.7501711249,8.5
CT052,0,1,CT,multi-city,rural,81095,18.75975418,9.5
CT054,1,1,CT,city,urban,60293,0.6598220468,42
CT057,NA,NA,NA,NA,NA,NA,NA,NA
CT058,0,1,CT,city,urban,53358,1.234770656,35
CT059,NA,NA,NA,NA,NA,NA,NA,NA
CT060,0,1,CT,multi-city,urban,127273,17.92470932,17.56
CT061,NA,NA,NA,NA,NA,NA,NA,NA
CT062,0,0,CT,city,urban,20314,11.74811745,3
CT063,NA,NA,NA,NA,NA,NA,NA,NA
CT064,1,1,CT,city,urban,130282,0.8788501024,NA
CT066,NA,NA,NA,NA,NA,NA,NA,NA
CT068,0,0,CT,multi-city,urban,32028,14.05612564,6.5
CT071,0,0,CT,multi-city,urban,166207,1.330595493,14
CT072,NA,NA,NA,NA,NA,NA,NA,NA
CT073,0,1,CT,city,urban,88145,23.76728249,28
CT075,0,1,CT,multi-city,urban,27917,3.496235371,6.5
CT079,0,0,CT,multi-city,urban,42514,27.49623489,6.6
CT082,0,0,CT,multi-city,urban,99787,24.66529846,10.7
CT083,0,0,CT,city,urban,9309,12.11225224,3
CT084,NA,NA,NA,NA,NA,NA,NA,NA
CT089,NA,NA,NA,NA,NA,NA,NA,NA
CT096,1,1,CT,city,urban,128278,0.3148528337,87
CT098,1,1,CT,city,urban,52734,5.49760437,10
CT102,1,0,CT,multi-city,urban,95759,11.41136169,9.5
CT104,NA,NA,NA,NA,NA,NA,NA,NA
CT106,1,1,CT,city,urban,109307,3.370294333,120
"CT109
",NA,NA,NA,NA,NA,NA,NA,NA
CT110,NA,NA,NA,NA,NA,NA,NA,NA
CT111,NA,NA,NA,NA,NA,NA,NA,NA
CT112,0,0,CT,multi-city,urban,97835,1.50308013,8.5
CT116,1,1,CT,city,urban,29069,3.082819939,6
CT130,1,1,CT,multi-city,urban,61616,4.035592079,8
CT131,1,0,CT,multi-city,urban,71964,NA,9.2
CT132,NA,NA,CT,multi-city,rural,133341,2.748802185,15
CT133,0,0,CT,city,urban,19867,0.4955509901,2.5
CT134,0,0,CT,city,urban,36578,NA,3
DC001,1,1,DC,city,urban,658893,1.177275896,610.6
DE002,1,1,DE,county,urban,552778,0.8350445032,117.5
DE003,0,0,DE,multi-county,rural,382836,4.265571594,150
Fairhaven,NA,NA,NA,NA,NA,NA,NA,NA
FL001,0,1,FL,county,urban,897698,2.880218983,507.9
FL002,1,1,FL,county,urban,256380,4.396988392,NA
FL003,1,1,FL,county,rural,27093,25.08418846,NA
FL004,1,1,FL,county,urban,178985,5.995893002,220
FL005,1,1,FL,county,rural,26702,2.852840424,35
FL006,1,1,FL,county,urban,556885,0.3312799335,220
FL007,1,1,FL,county,urban,1869235,7.978096962,563
FL009,1,1,FL,county,urban,168474,0.3312799335,65.5
FL010,1,1,FL,county,rural,139377,0.2847364843,76.15
FL011,1,1,FL,county,urban,199798,0.3340177834,76
FL012,1,1,FL,county,urban,348777,1.932922602,173
FL013,0,0,FL,county,rural,67857,3.244353294,NA
FL014,1,1,FL,county,urban,2662874,8.243668556,783.85
FL015,1,1,FL,county,rural,35012,11.43874073,66
FL017,1,1,FL,county,urban,310659,19.87679672,227
FL018,0,1,FL,county,rural,102408,0.7501711249,48
FL019,NA,NA,FL,county,rural,11815,3.748117685,34
FL020,1,1,FL,county,rural,46281,0.648870647,52.5
FL021,0,1,FL,county,rural,16997,2.836413383,14.13
FL022,1,1,FL,county,rural,15944,5.286789894,35.2
FL023,0,1,FL,county,rural,14048,3.244353294,23
FL024,1,1,FL,county,rural,27469,0.5804243684,28
FL025,1,1,FL,county,rural,38505,0.3093771338,73
FL026,1,1,FL,county,urban,175855,3.299110174,116
FL027,1,1,FL,county,rural,98236,3.581108809,63
FL028,1,1,FL,county,urban,1316298,19.66324425,405
FL029,1,1,FL,county,rural,19650,1.727583885,35
FL030,1,1,FL,county,urban,144755,8.892539024,110
FL032,1,1,FL,county,rural,14050,0.2464065701,23.65
FL033,0,0,FL,county,rural,8835,1.062286139,8
FL034,1,1,FL,county,urban,315690,NA,125
FL035,1,1,FL,county,urban,679513,0.443531841,254
FL036,1,1,FL,county,urban,283988,1.826146483,168
FL037,0,1,FL,county,urban,39613,9.850787163,30.2
FL039,1,1,FL,county,rural,18518,0.2464065701,21.15
FL040,1,1,FL,county,urban,351746,6.642025948,112.2
FL041,0,1,FL,county,urban,339167,NA,NA
FL042,0,1,FL,county,urban,153392,4.722792625,86
FL043,1,1,FL,county,rural,77136,NA,65
FL044,1,1,FL,county,rural,76619,19.24435234,NA
FL045,1,1,FL,county,urban,196512,16.28199768,94.65
FL046,1,1,FL,county,rural,39149,0.5503079891,33
FL047,1,1,FL,county,urban,1253001,0.859685123,512
FL048,1,1,FL,county,urban,310211,8.087611198,NA
FL049,1,1,FL,county,urban,1397710,6.663928986,702
FL050,1,1,FL,county,urban,485331,3.318275213,175
FL051,NA,NA,FL,county,urban,938098,0.5804243684,722
FL052,1,1,FL,county,rural,634638,0.5804243684,363
FL053,1,1,FL,county,rural,72143,2.852840424,NA
FL054,1,1,FL,county,urban,163422,6.329911232,63.3
FL055,1,1,FL,county,urban,396962,4.539356709,439
FL056,1,1,FL,county,urban,442516,2.989732981,140
FL057,0,1,FL,county,urban,217919,11.997262,51
FL058,1,1,FL,county,urban,291028,NA,NA
FL060,1,1,FL,county,rural,44022,1.062286139,28
FL061,1,1,FL,county,rural,22582,2.891170502,23
FL062,1,1,FL,county,rural,15190,2.852840424,75
FL063,1,1,FL,county,urban,507531,0.9993155599,240
FL064,1,1,FL,county,urban,31432,3.216974735,28
FL065,1,1,FL,county,rural,61530,4.232717514,86.5
FL066,1,1,FL,county,rural,24451,1.727583885,34
FL069,1,1,FL,county,rural,13635,NA,7
GA048,1,NA,GA,multi-county,urban,647774,21.96030045,315.75
GA071,NA,NA,NA,NA,NA,NA,NA,NA
GA078,NA,NA,NA,NA,NA,NA,NA,NA
GA132,1,1,GA,multi-county,rural,151935,18.24230003,135.5
GA169,1,1,GA,multi-county,urban,661659,10.11909676,326
GA171,1,1,GA,multi-county,rural,825070,2.584531069,150
GA172,1,1,GA,multi-county,urban,456516,0.7501711249,282
GA173,1,1,GA,multi-county,urban,869757,NA,290
GA176,1,1,GA,multi-county,urban,525486,7.830253124,289
GA178,1,1,GA,multi-county,urban,377661,NA,163.4
"GA178
",NA,NA,NA,NA,NA,NA,NA,NA
GA179,1,1,GA,multi-county,urban,254656,5.330595493,40
GA180,1,1,GA,multi-county,urban,603435,NA,334
GA181,1,1,GA,multi-county,rural,364693,10.71047211,259
GA182,1,1,GA,multi-county,urban,475625,31.24435234,250
IA001,0,1,IA,county,rural,7454,13.89733028,10
IA002,NA,NA,NA,NA,NA,NA,NA,NA
IA003,0,1,IA,county,rural,14038,14.32991123,17.5
IA006,0,0,IA,county,rural,5794,24.20807648,5.7
IA009,0,1,IA,county,urban,132897,0.1040383279,86.21
IA010,0,0,IA,county,rural,26433,2.255989075,1
IA011,NA,NA,NA,NA,NA,NA,NA,NA
IA012,0,0,IA,county,rural,21038,23.8302536,5.1
IA013,0,1,IA,county,rural,20578,8.440793991,13
IA014,1,0,IA,county,rural,15006,8.142368317,15.5
IA015,1,1,IA,county,rural,9866,26.91581154,14.2
IA018,1,1,IA,county,rural,18411,3.074606419,19
IA020,1,1,IA,county,rural,43254,NA,38.7
IA022,1,0,IA,county,rural,12264,10.01505852,14
IA023,0,0,IA,county,rural,9217,0.1806981564,3
IA024,1,1,IA,county,rural,16515,0.5804243684,2.5
IA026,0,1,IA,county,rural,48051,8.142368317,18
IA027,0,0,IA,city,urban,62245,18.99794579,25
IA028,1,1,IA,county,urban,20454,0.5804243684,0.5
IA030,NA,NA,NA,NA,NA,NA,NA,NA
IA031,1,1,IA,county,urban,77400,2.483230591,20
IA033,1,1,IA,county,rural,8263,13.40999317,7.25
IA034,0,0,IA,county,rural,17398,6.496920109,4.6
IA036,0,0,IA,county,rural,40255,40.2436676,NA
IA037,NA,NA,NA,NA,NA,NA,NA,NA
IA038,0,0,IA,city,urban,58436,26.58179283,5.58
IA040,0,0,IA,county,urban,96370,5.661875248,2
IA041,0,0,IA,county,rural,15609,0.3312799335,NA
IA042,0,0,IA,county,rural,9990,7.630390167,7
IA046,1,1,IA,county,rural,36955,7.578371048,34
IA047,NA,NA,NA,NA,NA,NA,NA,NA
IA049,NA,NA,NA,NA,NA,NA,NA,NA
IA050,1,0,IA,county,rural,12375,NA,NA
IA052,1,0,IA,county,rural,11027,3.00889802,2
IA053,1,1,IA,county,rural,17311,1.694729686,20.2
IA057,1,1,IA,county,rural,9640,5.631759167,6.5
IA058,NA,NA,NA,NA,NA,NA,NA,NA
IA062,NA,NA,NA,NA,NA,NA,NA,NA
IA064,1,1,IA,county,urban,142287,8.240930557,37
IA066,NA,NA,NA,NA,NA,NA,NA,NA
IA067,NA,NA,NA,NA,NA,NA,NA,NA
IA069,1,1,IA,county,urban,217751,3.96988368,50.3
IA070,0,0,IA,county,rural,11161,3.299110174,NA
IA071,NA,NA,NA,NA,NA,NA,NA,NA
IA072,1,1,IA,county,rural,11683,0.9993155599,11
IA074,NA,NA,NA,NA,NA,NA,NA,NA
IA075,NA,NA,NA,NA,NA,NA,NA,NA
IA077,1,1,IA,county,rural,14831,16.58589935,16.5
IA079,0,1,IA,county,rural,8996,1.368925452,6
IA080,0,1,IA,county,rural,8001,1.522245049,8.25
IA082,0,0,IA,county,rural,42903,8,22.13
IA084,NA,NA,NA,NA,NA,NA,NA,NA
IA087,1,0,IA,county,rural,15496,1.579739928,3
IA088,0,0,IA,county,rural,9099,10.66392899,10.5
IA090,0,0,IA,county,rural,7138,0.8323066235,3
IA092,0,0,IA,county,urban,459862,3.624914408,39
IA093,0,1,IA,county,urban,93128,8.498289108,14.5
IA095,NA,NA,NA,NA,NA,NA,NA,NA
IA096,NA,NA,NA,NA,NA,NA,NA,NA
IA098,1,0,IA,county,urban,171387,5.585215569,NA
IA100,1,1,IA,county,rural,34681,8.082135201,8.6
IA101,1,1,IA,county,urban,102271,5.245722294,64.3
IA102,NA,NA,NA,NA,NA,NA,NA,NA
IA103,NA,NA,NA,NA,NA,NA,NA,NA
IA104,0,0,IA,county,rural,6143,4.054757118,12.05
IA107,NA,NA,NA,NA,NA,NA,NA,NA
IA108,0,0,IA,county,rural,22070,3.036276579,21.1
IA109,NA,NA,NA,NA,NA,NA,NA,NA
IA111,1,1,IA,county,rural,10559,10.41204643,19.5
IA112,0,1,IA,county,rural,20768,12.66529751,11.9
IA114,1,0,IA,county,rural,7624,15.74811745,13
IA115,1,0,IA,county,rural,12840,0.1779603064,29.83
IA116,1,1,IA,county,rural,15117,8.648870468,17
IA119,NA,NA,NA,NA,NA,NA,NA,NA
IA120,NA,NA,NA,NA,NA,NA,NA,NA
IA121,NA,NA,NA,NA,NA,NA,NA,NA
IA123,0,NA,IA,county,rural,7022,1.620807648,10
IA124,0,1,IA,county,rural,20562,3.915126562,4.5
IA125,0,0,IA,county,urban,24721,NA,NA
IA126,0,0,IA,county,rural,40866,9.160848618,1
IA127,NA,NA,NA,NA,NA,NA,NA,NA
IA128,NA,NA,NA,NA,NA,NA,NA,NA
IA129,NA,NA,NA,NA,NA,NA,NA,NA
IA130,1,0,IA,county,rural,11948,2.49691987,4
IA131,1,1,IA,county,rural,47956,10.43942547,21.5
IA139,0,0,IA,county,rural,36872,0.123203285,11
ID001,1,1,ID,multi-county,urban,468980,10.43394947,127
ID002,1,1,ID,multi-county,urban,209623,3.082819939,87
ID003,1,1,ID,multi-county,urban,107033,24.24640656,NA
ID004,1,1,ID,multi-county,urban,221398,5.579740047,110.8
ID005,1,1,ID,multi-county,urban,268080,0.3340177834,NA
ID006,1,1,ID,multi-county,rural,190496,9.412731171,87
ID007,1,1,ID,multi-county,urban,168854,4.991102219,76.62
IL001,1,1,IL,county,rural,66988,3.578371048,38.1
IL002,1,1,IL,county,rural,17269,2.748802185,NA
IL003,1,1,IL,county,urban,53869,4.358658314,17
IL006,1,1,IL,county,rural,4956,9.831622124,10
IL007,1,NA,IL,county,rural,13156,13.90554428,NA
IL008,1,1,IL,multi-ciy,urban,126557,8.878849983,98
IL009,0,1,IL,city,urban,2722389,0.2464065701,536
IL010,1,1,IL,county,rural,33892,NA,11
IL011,NA,NA,IL,county,rural,13520,24.52840614,44
IL012,1,1,IL,county,rural,53320,1.664613247,21
IL013,1,1,IL,county,urban,2324471,3.101984978,201.5
IL014,1,1,IL,county,rural,10833,3.488021851,7
IL015,1,1,IL,county,urban,105462,4.750171185,41.05
IL017,NA,NA,NA,NA,NA,NA,NA,NA
IL018,1,1,IL,county,urban,932708,2.143737078,NA
IL019,1,1,IL,multi-city,urban,61712,12.19986343,48
IL020,1,1,IL,county,rural,34320,2.083504438,14.4
IL021,1,1,IL,multi-county,rural,44277,10.76796722,NA
IL022,1,0,IL,city,urban,75658,8.246406555,33
IL023,1,1,IL,county,rural,21870,8.229979515,29
IL025,NA,NA,NA,NA,NA,NA,NA,NA
IL027,1,0,IL,county,rural,13434,16.24640656,19
IL028,1,1,IL,county,rural,50425,2.633812428,29.6
IL029,1,1,IL,county,rural,8296,9.160848618,3.4
IL030,1,1,IL,county,rural,18564,2.565366268,28
IL032,1,1,IL,county,rural,49635,1.99863112,121.5
IL033,1,1,IL,county,rural,59677,18.74880219,51.07
IL034,1,1,IL,county,rural,9623,4.917180061,26.6
IL035,NA,NA,NA,NA,NA,NA,NA,NA
IL036,1,1,IL,county,rural,22571,23.9151268,25.4
IL037,0,1,IL,county,rural,22254,0.8624230027,11
IL038,1,1,IL,county,urban,527306,3.830253363,64
IL039,1,1,IL,county,urban,111375,16.08213615,32.4
IL040,1,1,IL,county,urban,121350,4.079397678,49.3
IL041,NA,NA,NA,NA,NA,NA,NA,NA
IL042,1,NA,IL,county,rural,111241,14.74880219,33
IL043,1,1,IL,county,urban,705186,2.902121782,760.61
IL044,NA,NA,NA,NA,NA,NA,NA,NA
IL045,1,1,IL,county,rural,34735,12.77207375,19.5
IL046,1,0,IL,county,rural,37903,19.9151268,33
IL047,NA,NA,IL,county,rural,29746,1.579739928,NA
IL048,1,1,IL,county,urban,108350,1.50308013,NA
IL049,1,1,IL,county,rural,46453,25.83162308,68
IL050,1,1,IL,county,urban,187319,0.2080766559,71.7
IL052,NA,NA,NA,NA,NA,NA,NA,NA
IL053,1,1,IL,county,urban,307283,1.483915091,114.69
IL054,1,1,IL,county,urban,174061,6.852840424,90
IL056,1,1,IL,county,rural,15945,6.748802185,16.38
IL057,1,0,IL,multi-county,rural,32869,25.28678894,10.7
IL058,NA,NA,NA,NA,NA,NA,NA,NA
IL059,NA,NA,NA,NA,NA,NA,NA,NA
IL060,NA,NA,NA,NA,NA,NA,NA,NA
IL061,0,1,IL,county,rural,52085,1.845311403,9.21
IL062,0,0,IL,county,rural,16180,12.01916504,8.3
IL063,NA,NA,NA,NA,NA,NA,NA,NA
IL064,1,1,IL,county,rural,14715,11.19233418,6
IL065,1,1,IL,county,rural,16022,12.9418211,26.7
IL067,1,1,IL,county,urban,146063,1.185489416,49.87
IL068,NA,NA,NA,NA,NA,NA,NA,NA
IL069,1,1,IL,county,rural,7330,3.578371048,3.5
IL070,1,0,IL,county,rural,22048,20.45995903,13.75
IL072,1,1,IL,city,urban,65112,7.156742096,16.4
IL073,1,1,IL,multi-county,rural,66665,15.74811745,36
IL075,1,1,IL,county,urban,204017,0.7501711249,62
IL077,NA,NA,NA,NA,NA,NA,NA,NA
IL078,0,1,IL,city,urban,6818,7.748117924,37
IL079,1,1,IL,county,urban,135707,10.74880219,89.89
IL080,0,1,IL,county,urban,79728,2.075290918,24.9
IL081,1,1,IL,county,rural,11549,12.83230686,24
IL082,1,1,IL,county,rural,16543,9.160848618,10.2
