from,to
FL003,FL018
FL003,FL044
FL004,FL014
FL004,FL001
FL004,FL034
FL004,FL055
FL004,FL057
FL005,FL002
FL005,FL013
FL005,FL037
FL005,FL041
FL005,FL062
FL007,FL001
FL007,FL028
FL007,FL014
FL007,FL043
FL007,FL049
FL009,FL015
FL009,FL025
FL009,FL035
FL009,FL055
FL010,FL034
FL010,FL041
FL010,FL047
FL010,FL049
FL010,FL051
FL011,FL003
FL011,FL044
FL011,FL057
FL012,FL015
FL012,FL001
FL012,FL030
FL012,FL035
FL012,FL055
FL013,FL002
FL013,FL005
FL013,FL037
FL013,FL060
FL013,FL061
FL014,TX171
FL014,FL028
FL014,FL047
FL014,CA045
FL014,NY029
FL015,FL009
FL015,FL027
FL015,FL045
FL015,FL050
FL015,FL055
FL017,FL015
FL017,FL045
FL017,FL056
FL017,FL057
FL017,WA004
FL019,FL036
FL019,FL045
FL019,FL050
FL020,FL022
FL020,FL036
FL021,FL002
FL021,FL013
FL021,FL045
FL021,FL053
FL021,FL061
FL022,FL001
FL022,FL026
FL022,FL036
FL022,FL045
FL022,FL050
FL023,FL002
FL023,FL005
FL023,FL037
FL023,FL060
FL023,FL061
FL024,FL051
FL024,FL028
FL024,FL047
FL024,FL050
FL025,FL009
FL025,FL012
FL025,FL015
FL025,FL035
FL025,FL040
FL026,FL022
FL026,FL028
FL026,FL045
FL026,FL050
FL026,FL051
FL027,FL009
FL027,FL015
FL027,FL045
FL027,FL050
FL027,FL055
FL028,FL051
FL028,FL014
FL028,FL045
FL028,FL047
FL028,FL050
FL029,FL022
FL029,FL045
FL029,FL054
FL029,FL065
FL030,FL006
FL030,FL042
FL030,FL046
FL030,FL058
FL032,FL019
FL032,FL020
FL032,FL036
FL032,FL061
FL033,FL002
FL033,FL005
FL033,FL023
FL033,FL041
FL033,FL013
FL034,FL047
FL034,FL002
FL034,FL010
FL034,FL048
FL034,FL050
FL035,FL001
FL035,FL012
FL035,FL025
FL035,FL046
FL035,FL055
FL036,FL001
FL036,FL020
FL036,FL019
FL036,FL022
FL036,FL045
FL036,FL061
FL036,FL064
FL037,FL002
FL037,FL013
FL037,FL026
FL037,FL041
FL037,FL061
FL039,FL019
FL039,FL020
FL039,FL036
FL039,FL061
FL040,FL015
FL040,FL030
FL040,FL047
FL040,FL055
FL040,FL057
FL041,KY133
FL041,FL047
FL041,FL050
FL041,FL064
FL042,FL030
FL042,FL046
FL042,FL047
FL042,FL051
FL042,FL058
FL043,FL007
FL043,FL034
FL043,FL036
FL043,FL014
FL043,FL049
FL044,FL003
FL044,FL011
FL044,FL001
FL044,FL018
FL044,FL057
FL045,FL015
FL045,FL017
FL045,FL022
FL045,FL047
FL045,FL050
FL046,FL009
FL046,FL015
FL046,FL027
FL046,FL041
FL046,FL042
FL046,FL058
FL049,FL063
FL049,FL001
FL049,FL036
FL049,FL014
FL049,FL047
FL050,FL002
FL050,FL045
FL050,FL047
FL050,FL063
FL051,FL028
FL051,FL014
FL051,FL047
FL051,FL050
FL052,FL028
FL052,FL040
FL052,FL047
FL052,FL051
FL053,FL014
FL053,FL003
FL053,FL005
FL053,FL041
FL053,FL050
FL055,FL035
FL055,FL012
FL055,FL047
FL055,FL048
FL055,FL056
FL056,MA043
FL056,KY032
FL056,FL014
FL056,FL047
FL056,KY047
FL057,FL011
FL057,FL017
FL057,FL014
FL057,FL044
FL057,FL048
FL058,FL047
FL058,FL030
FL058,FL041
FL058,FL045
FL058,FL046
FL060,FL002
FL060,FL013
FL060,FL023
FL060,FL041
FL060,FL061
FL061,FL002
FL061,FL013
FL061,FL034
FL061,FL041
FL061,FL054
FL062,FL002
FL062,FL013
FL062,FL041
FL062,FL053
FL062,FL060
FL063,FL001
FL063,FL018
FL063,FL047
FL063,FL053
FL063,FL057
FL064,FL002
FL064,FL013
FL064,FL034
FL064,FL041
FL064,FL054
FL065,FL017
FL065,FL045
FL065,FL048
FL065,FL050
FL065,FL054
FL066,FL004
FL066,FL022
FL066,FL045
FL066,FL054
FL066,FL065
FL069,FL009
FL069,FL012
FL069,FL025
FL069,FL035
FL069,FL046
GA132,AL004
GA132,GA180
GA132,GA048
GA132,GA169
GA132,GA179
GA169,GA182
GA169,GA048
GA169,GA071
GA169,GA078
GA169,GA180
GA172,GA173
GA172,GA171
GA172,GA169
GA172,GA048
GA173,GA071
GA173,GA169
GA176,GA169
GA176,GA182
GA176,GA132
GA176,GA181
GA176,"GA178
"
GA178,GA078
GA178,GA180
GA178,GA171
GA179,GA132
GA180,GA172
GA182,GA071
GA182,GA173
GA182,GA048
GA182,GA180
IA001,IA002
IA001,IA006
IA001,IA095
IA001,IA130
IA001,IA120
IA006,IA001
IA006,IA121
IA006,IA130
IA010,IA031
IA010,IA049
IA010,IA116
IA010,IA102
IA012,IA009
IA012,IA034
IA012,IA064
IA012,IA069
IA012,IA098
IA013,IA030
IA013,IA058
IA013,IA096
IA013,IA101
IA013,IA046
IA014,IA119
IA014,IA047
IA015,IA031
IA015,IA046
IA015,IA079
IA015,IA092
IA015,IA101
IA018,IA062
IA018,IA064
IA018,IA069
IA018,IA098
IA018,IA108
IA023,IA041
IA023,IA131
IA026,IA018
IA026,IA034
IA026,IA064
IA026,IA069
IA026,IA098
IA027,IA009
IA027,IA020
IA027,IA101
IA027,IA093
IA028,IA012
IA028,IA018
IA028,IA026
IA028,IA034
IA028,IA069
IA031,IA049
IA031,IA069
IA031,IA092
IA031,IA131
IA033,IA023
IA033,IA071
IA033,IA075
IA033,IA095
IA033,IA109
IA034,IA012
IA034,IA040
IA034,IA064
IA038,IA009
IA038,IA027
IA038,IA064
IA038,IA069
IA038,IA098
IA042,IA024
IA042,IA037
IA042,IA066
IA042,IA088
IA042,IA111
IA052,IA115
IA053,IA031
IA053,IA050
IA053,IA075
IA053,IA102
IA053,IA046
IA057,IA116
IA057,IA046
IA057,IA066
IA057,IA090
IA057,IA115
IA064,IA098
IA064,IA101
IA069,TX144
IA069,IA064
IA069,NE010
IA069,OK072
IA069,IA092
IA070,IA036
IA070,MO038
IA070,IA064
IA070,IA067
IA070,IA082
IA072,IA079
IA072,IA084
IA077,IA030
IA077,IA121
IA077,IA093
IA077,IA095
IA077,NE029
IA079,IA009
IA079,IA030
IA079,IA121
IA079,IA130
IA079,IA101
IA080,IA062
IA080,IA074
IA080,IA107
IA082,IA011
IA082,IA067
IA082,IA070
IA082,IA075
IA082,IA098
IA087,IA123
IA087,IA127
IA087,IA104
IA090,IA015
IA090,IA046
IA092,IA069
IA098,IA026
IA098,IA064
IA098,IA069
IA098,IA101
IA098,OK072
IA100,IA037
IA100,IA128
IA100,IA058
IA100,IA084
IA100,IA101
IA101,IA064
IA101,IA069
IA101,IL069
IA104,IA030
IA104,IA123
IA104,IA127
IA104,IA087
IA104,IA095
IA108,IA062
IA108,IA064
IA108,IA067
IA108,IA075
IA108,IA107
IA112,IA119
IA112,IA052
IA112,IA022
IA112,MA220
IA112,IA003
IA114,IA020
IA114,IA111
IA115,IA047
IA115,IA116
IA115,IA052
IA115,IA046
IA116,IA015
IA116,IA031
IA116,IA046
IA116,IA092
IA116,IA115
IA123,IA077
IA123,IA127
IA123,IA087
IA123,IA104
IA124,IA031
IA124,IA098
IA125,IA022
IA125,IA098
IA125,IA112
IA126,IA129
IA126,IA103
IA139,IL023
IA139,IA129
IA139,IA075
IA139,IA126
IA139,IA103
ID001,ID005
ID002,ID004
ID002,ID003
ID002,ID006
ID002,ID007
ID002,ID005
ID004,ID003
ID004,ID006
ID004,ID007
ID004,ID002
ID006,ID002
ID006,ID004
ID006,ID003
ID006,ID007
ID007,ID002
ID007,ID004
ID007,ID003
ID007,ID006
ID007,ID005
IL001,IL033
IL001,IL059
IL001,IL065
IL001,IL077
IL001,IL079
IL002,IL001
IL002,IL028
IL002,IL011
IL002,IL090
IL002,IL079
IL003,IL015
IL003,IL045
IL003,IL061
IL003,IL077
IL003,IL085
IL007,IL011
IL007,IL083
IL007,IL049
IL007,IL059
IL008,IL009
IL008,MO049
IL008,WA022
IL009,MA030
IL009,IL013
IL009,MD004
IL009,NY029
IL009,CA041
IL010,IL027
IL010,IL033
IL010,IL036
IL010,IL073
IL010,IL093
IL011,IL001
IL011,IL023
IL011,IL046
IL011,IL077
IL011,IL079
IL012,IL008
IL012,IL014
IL012,IL017
IL012,IL046
IL013,IL018
IL013,IL009
IL013,IL038
IL013,IL043
IL013,IL084
IL014,IL008
IL014,IL012
IL014,IL017
IL014,IL038
IL014,IL070
IL015,IL018
IL015,IL040
IL015,IL045
IL015,IL077
IL015,IL083
IL018,IL013
IL018,IL009
IL018,IL043
IL018,WA022
IL019,IL033
IL019,IL090
IL019,IL075
IL020,IL008
IL020,IL011
IL020,IL033
IL020,IL068
IL020,IL077
IL021,IL033
IL021,IL035
IL021,IL090
IL021,IL073
IL021,IL082
IL022,IL013
IL023,IL033
IL023,IL075
IL027,IL002
IL027,IL006
IL027,IL036
IL027,IL059
IL027,IL093
IL028,IL018
IL028,IL040
IL028,IL046
IL028,IL070
IL028,IL085
IL029,IL011
IL029,IL021
IL029,IL082
IL029,IL034
IL029,IL035
IL032,IL001
IL032,IL008
IL032,IL041
IL032,IL077
IL032,IL079
IL033,IL011
IL033,IL018
IL033,IL043
IL033,IL090
IL033,IL073
IL034,IL011
IL034,IL088
IL034,IL020
IL034,IL044
IL034,IL081
IL036,IL027
IL036,IL011
IL036,IL049
IL036,IL090
IL036,IL065
IL037,IL061
IL037,IL077
IL038,IL013
IL038,IL018
IL038,IL040
IL038,MI041
IL038,IL085
IL039,IL008
IL039,IL110
IL039,IL046
IL039,IL054
IL039,IL084
IL040,IL018
IL040,IL009
IL040,IL033
IL040,IL038
IL040,IL043
IL042,IL001
IL042,IL033
IL042,IL068
IL042,IL079
IL042,IL086
IL045,IL003
IL045,IL015
IL045,IL083
IL045,IL061
IL045,IL077
IL048,IL012
IL048,IL008
IL048,IL054
IL048,IL068
IL048,IL070
IL049,IL002
IL049,IL007
IL049,IL058
IL049,IL068
IL049,IL083
IL053,IL013
IL053,TX134
IL053,TX146
IL053,IL009
IL053,IL043
IL054,IL011
IL054,IL008
IL054,IL046
IL054,IL068
IL054,IL070
IL056,IL001
IL056,IL067
IL056,IL079
IL057,IL011
IL057,IL025
IL057,IL033
IL057,IL046
IL057,IL105
IL061,IL015
IL061,IL045
IL061,IL077
IL061,IL083
IL061,IL085
IL064,IL083
IL064,IL045
IL064,IL061
IL064,IL077
IL065,IL006
IL065,IL027
IL065,IL001
IL065,IL036
IL065,IL059
IL067,IL030
IL067,IL032
IL067,IL056
IL067,IL050
IL067,IA098
IL069,IL001
IL069,IL030
IL069,IL052
IL069,IA092
IL069,IA101
IL070,IL008
IL070,IL054
IL070,IL094
IL070,IL068
IL070,IL077
IL075,IL008
IL075,IL033
IL075,IL090
IL075,MO101
IL075,MO102
IL078,IL015
IL078,IL022
IL078,IL013
IL078,IL060
IL078,IL072
IL079,IL001
IL079,IL008
IL079,IL040
IL079,IL054
IL079,IL050
IL080,IL012
IL080,IL008
IL080,IL110
IL080,IL046
IL080,IL054
IL081,IL088
IL081,IL021
IL081,IL034
IL081,IL035
IL081,IL044
IL082,IL021
IL082,IL029
IL082,IL011
IL082,IL033
IL082,IL035
IL083,IL015
IL083,IL045
IL083,IL061
IL083,IL077
IL083,IL085
IL084,IL028
IL084,IL043
IL084,IL085
IL086,IL001
IL086,IL011
IL086,IL054
IL086,IL050
IL086,IL079
IL087,IL011
IL087,IL002
IL087,IL068
IL087,IL081
IL087,IL093
IL088,IL011
IL088,IL023
IL088,IL034
IL088,IL044
IL088,IL091
IL089,IL008
IL089,IL062
IL089,IL012
IL089,IL014
IL089,IL070
IL090,IL033
IL090,IL075
IL090,MO101
IL090,MO102
IL091,IL088
IL091,IL023
IL091,IL033
IL091,IL035
IL091,IL090
IL093,IL087
IL093,IL027
IL093,IL036
IL093,IL091
IL093,IL063
IL103,IL041
IL103,IL047
IL103,IL056
IL103,IL067
IL103,IL079
IL105,MO102
IL105,IL075
IL105,IL093
IL109,IL028
IL109,IL046
IL110,IL008
IL110,IL046
IL110,IL054
IL110,IL070
IL110,IL080
IN003,IN044
IN003,KY009
IN003,IN053
IN003,IN057
IN003,IN076
IN006,KY054
IN006,IN031
IN006,IN035
IN006,IN044
IN006,IN053
IN007,KY054
IN007,IN031
IN010,IN003
IN010,IN031
IN010,IN002
IN010,IN052
IN010,IN057
IN012,IN006
IN012,OH060
IN012,IN058
IN012,IN083
IN012,IN084
IN016,KY054
IN016,IN025
IN016,IN039
IN016,IN043
IN016,IN082
IN019,IN002
IN019,IN010
IN019,IN052
IN019,IN057
IN019,IN073
IN021,IN019
IN021,IN046
IN021,IN047
IN021,IN053
IN021,IN078
IN027,IN020
IN027,IN049
IN030,IN014
IN035,KY054
IN035,IN006
IN035,IN031
IN035,IN044
IN035,IN053
IN036,IN018
IN036,IN031
IN036,TX144
IN036,IN002
IN036,KY047
IN037,IN031
IN037,IN002
IN037,IN010
IN037,IN052
IN037,IN057
IN041,IN001
IN041,IN005
IN041,IN018
IN041,IN072
IN041,IN093
IN047,IN021
IN052,KY054
IN052,IN010
IN052,IN019
IN052,IN031
IN052,IN057
IN053,IL009
IN053,KY032
IN053,WA022
IN053,CA045
IN053,KS095
IN057,KY054
IN057,IN019
IN057,IN010
IN057,IN052
IN057,IN073
IN059,MA015
IN059,IN007
IN059,IN003
IN059,IN044
IN059,IN053
IN071,IN035
IN071,IN053
IN071,IN058
IN071,IN064
IN071,IN093
IN073,IN010
IN073,IN017
IN073,IN016
IN073,IN042
IN073,IN075
IN075,KY054
IN075,IN010
IN075,IN042
IN076,KY054
IN076,IN044
IN076,IN053
IN078,IN010
IN078,IN021
IN078,IN031
IN078,IN002
IN078,IN057
IN080,KY054
IN080,IN015
IN080,IN031
IN080,IN044
IN080,IN095
IN083,IN012
IN083,IN036
IN083,IN037
IN083,IN057
IN086,IN019
IN086,IN002
IN086,IN053
IN087,IN011
IN087,IN065
IN088,IN011
IN088,IN053
IN088,IN065
IN088,IN081
IN088,IN087
KS001,KS043
KS001,KS031
KS001,KS039
KS001,KS040
KS001,KS095
KS002,KS051
KS002,KS067
KS002,KS072
KS002,KS074
KS002,KS080
KS003,FL036
KS003,KS032
KS003,KS036
KS003,KS049
KS003,KS072
KS008,KS012
KS008,KS023
KS008,KS028
KS008,KS033
KS008,KS052
KS011,KS048
KS011,KS024
KS011,KS066
KS011,KS056
KS011,KS063
KS012,KS001
KS012,KS018
KS012,KS031
KS012,KS040
KS012,KS070
KS013,KS043
KS013,KS032
KS013,KS072
KS013,KS075
KS013,KS095
KS015,KS026
KS015,KS062
KS015,KS071
KS015,KS076
KS015,KS088
KS019,KS014
KS019,KS041
KS019,KS055
KS019,KS060
KS019,KS096
KS020,KS025
KS020,KS047
KS020,KS064
KS020,KS077
KS020,KS083
KS021,KS009
KS021,KS035
KS021,KS046
KS021,KS064
KS021,KS078
KS022,KS028
KS022,KS033
KS022,KS042
KS022,KS081
KS022,KS086
KS024,KS036
KS024,KS011
KS024,KS091
KS025,KS047
KS025,KS061
KS025,KS082
KS025,KS083
KS025,KS090
KS029,KS030
KS029,KS042
KS029,KS052
KS029,KS081
KS029,KS092
KS031,KS001
KS031,KS039
KS031,KS040
KS031,KS070
KS031,KS087
KS032,KS003
KS032,KS049
KS032,KS072
KS032,KS095
KS032,KS087
KS033,KS008
KS033,KS023
KS033,KS028
KS033,KS099
KS033,KS052
KS034,KS017
KS034,KS036
KS034,KS043
KS034,KS106
KS034,KS089
KS035,KS009
KS035,KS021
KS035,KS046
KS035,KS054
KS035,KS084
KS036,MO049
KS036,KS043
KS036,KS075
KS036,KS089
KS036,KS098
KS041,KS006
KS041,"KS014
"
KS041,KS106
KS041,KS060
KS041,KS096
KS043,KS036
KS043,OH092
KS043,KS089
KS043,WA026
KS043,KS098
KS044,MO018
KS044,KS016
KS044,KS036
KS044,KS098
KS045,KS022
KS045,KS027
KS045,KS052
KS045,KS086
KS045,KS200
KS046,KS021
KS046,KS009
KS046,KS043
KS046,KS051
KS046,KS064
KS047,KS025
KS047,KS082
KS047,KS083
KS047,KS088
KS047,KS090
KS049,KS003
KS049,KS013
KS049,KS032
KS049,KS056
KS049,KS087
KS050,KS017
KS050,KS106
KS050,KS059
KS050,KS089
KS050,KS093
KS052,KS028
KS052,KS057
KS052,KS045
KS052,KS086
KS052,KS200
KS053,KS024
KS053,KS036
KS053,KS043
KS053,KS069
KS053,KS098
KS055,KS107
KS056,KS004
KS056,KS066
KS056,KS011
KS056,KS063
KS056,KS091
KS057,KS027
KS057,KS045
KS057,KS086
KS057,KS200
KS059,KS017
KS059,KS034
KS059,KS050
KS059,KS106
KS059,KS089
KS062,KS026
KS062,KS068
KS062,KS071
KS062,KS076
KS064,KS046
KS064,KS054
KS064,KS073
KS064,KS076
KS064,KS084
KS066,KS019
KS066,KS003
KS067,KS002
KS067,KS051
KS067,KS074
KS067,KS083
KS067,KS085
KS069,KS037
KS069,KS036
KS069,KS075
KS070,KS018
KS070,KS031
KS070,KS039
KS070,KS040
KS070,KS001
KS072,KS036
KS072,KS043
KS076,KS026
KS076,KS062
KS076,KS068
KS076,KS078
KS077,KS002
KS077,KS020
KS077,KS067
KS078,KS009
KS078,KS021
KS078,KS046
KS078,KS064
KS078,KS076
KS080,KS002
KS080,KS051
KS080,KS067
KS080,KS072
KS080,KS074
KS083,KS025
KS083,KS047
KS083,KS071
KS083,KS082
KS083,KS090
KS084,KS035
KS084,KS046
KS084,KS054
KS084,KS064
KS084,KS076
KS086,KS027
KS086,KS099
KS086,KS052
