pokedex_number,name,attack,defense,height_m,hp,percentage_male,sp_attack,sp_defense,speed,type,weight_kg,generation,is_legendary
50,Diglett,55,30,,10,50,35,45,90,ground,,1,0
51,Dugtrio,100,60,,35,50,50,70,110,ground,,1,0
52,Meowth,35,35,,40,50,50,40,90,normal,,1,0
53,Persian,60,60,,65,50,75,65,115,normal,,1,0
54,Psyduck,52,48,0.8,50,50,65,50,55,water,19.6,1,0
55,Golduck,82,78,1.7,80,50,95,80,85,water,76.6,1,0
56,Mankey,80,35,0.5,40,50,35,45,70,fighting,28,1,0
57,Primeape,105,60,1,65,50,60,70,95,fighting,32,1,0
58,Growlithe,70,45,0.7,55,75.4,70,50,60,fire,19,1,0
59,Arcanine,110,80,1.9,90,75.4,100,80,95,fire,155,1,0
60,Poliwag,50,40,0.6,40,50,40,40,90,water,12.4,1,0
61,Poliwhirl,65,65,1,65,50,50,50,90,water,20,1,0
62,Poliwrath,95,95,1.3,90,50,70,90,70,water,54,1,0
63,Abra,20,15,0.9,25,75.4,105,55,90,psychic,19.5,1,0
64,Kadabra,35,30,1.3,40,75.4,120,70,105,psychic,56.5,1,0
65,Alakazam,50,65,1.5,55,75.4,175,105,150,psychic,48,1,0
66,Machop,80,50,0.8,70,75.4,35,35,35,fighting,19.5,1,0
67,Machoke,100,70,1.5,80,75.4,50,60,45,fighting,70.5,1,0
68,Machamp,130,80,1.6,90,75.4,65,85,55,fighting,130,1,0
69,Bellsprout,75,35,0.7,50,50,70,30,40,grass,4,1,0
70,Weepinbell,90,50,1,65,50,85,45,55,grass,6.4,1,0
71,Victreebel,105,65,1.7,80,50,100,70,70,grass,15.5,1,0
72,Tentacool,40,35,0.9,40,50,50,100,70,water,45.5,1,0
73,Tentacruel,70,65,1.6,80,50,80,120,100,water,55,1,0
74,Geodude,80,100,,40,50,30,30,20,rock,,1,0
75,Graveler,95,115,,55,50,45,45,35,rock,,1,0
76,Golem,120,130,,80,50,55,65,45,rock,,1,0
77,Ponyta,85,55,1,50,50,65,65,90,fire,30,1,0
78,Rapidash,100,70,1.7,65,50,80,80,105,fire,95,1,0
79,Slowpoke,65,65,1.2,90,50,40,40,15,water,36,1,0
80,Slowbro,75,180,1.6,95,50,130,80,30,water,78.5,1,0
81,Magnemite,35,70,0.3,25,,95,55,45,electric,6,1,0
82,Magneton,60,95,1,50,,120,70,70,electric,60,1,0
83,Farfetch'd,90,55,0.8,52,50,58,62,60,normal,15,1,0
84,Doduo,85,45,1.4,35,50,35,35,75,normal,39.2,1,0
85,Dodrio,110,70,1.8,60,50,60,60,110,normal,85.2,1,0
86,Seel,45,55,1.1,65,50,45,70,45,water,90,1,0
87,Dewgong,70,80,1.7,90,50,70,95,70,water,120,1,0
88,Grimer,80,50,,80,50,40,50,25,poison,,1,0
89,Muk,105,75,,105,50,65,100,50,poison,,1,0
90,Shellder,65,100,0.3,30,50,45,25,40,water,4,1,0
91,Cloyster,95,180,1.5,50,50,85,45,70,water,132.5,1,0
92,Gastly,35,30,1.3,30,50,100,35,80,ghost,0.1,1,0
93,Haunter,50,45,1.6,45,50,115,55,95,ghost,0.1,1,0
94,Gengar,65,80,1.5,60,50,170,95,130,ghost,40.5,1,0
95,Onix,45,160,8.8,35,50,30,45,70,rock,210,1,0
96,Drowzee,48,45,1,60,50,43,90,42,psychic,32.4,1,0
97,Hypno,73,70,1.6,85,50,73,115,67,psychic,75.6,1,0
98,Krabby,105,90,0.4,30,50,25,25,50,water,6.5,1,0
99,Kingler,130,115,1.3,55,50,50,50,75,water,60,1,0
100,Voltorb,30,50,0.5,40,,55,55,100,electric,10.4,1,0
101,Electrode,50,70,1.2,60,,80,80,150,electric,66.6,1,0
102,Exeggcute,40,80,0.4,60,50,60,45,40,grass,2.5,1,0
103,Exeggutor,105,85,,95,50,125,75,45,grass,,1,0
104,Cubone,50,95,0.4,50,50,40,50,35,ground,6.5,1,0
105,Marowak,80,110,,60,50,50,80,45,ground,,1,0
106,Hitmonlee,120,53,1.5,50,100,35,110,87,fighting,49.8,1,0
107,Hitmonchan,105,79,1.4,50,100,35,110,76,fighting,50.2,1,0
108,Lickitung,55,75,1.2,90,50,60,75,30,normal,65.5,1,0
109,Koffing,65,95,0.6,40,50,60,45,35,poison,1,1,0
110,Weezing,90,120,1.2,65,50,85,70,60,poison,9.5,1,0
111,Rhyhorn,85,95,1,80,50,30,30,25,ground,115,1,0
112,Rhydon,130,120,1.9,105,50,45,45,40,ground,120,1,0
113,Chansey,5,5,1.1,250,0,35,105,50,normal,34.6,1,0
114,Tangela,55,115,1,65,50,100,40,60,grass,35,1,0
115,Kangaskhan,125,100,2.2,105,0,60,100,100,normal,80,1,0
116,Horsea,40,70,0.4,30,50,70,25,60,water,8,1,0
117,Seadra,65,95,1.2,55,50,95,45,85,water,25,1,0
118,Goldeen,67,60,0.6,45,50,35,50,63,water,15,1,0
119,Seaking,92,65,1.3,80,50,65,80,68,water,39,1,0
120,Staryu,45,55,0.8,30,,70,55,85,water,34.5,1,0
121,Starmie,75,85,1.1,60,,100,85,115,water,80,1,0
122,Mr. Mime,45,65,1.3,40,50,100,120,90,psychic,54.5,1,0
123,Scyther,110,80,1.5,70,50,55,80,105,bug,56,1,0
124,Jynx,50,35,1.4,65,0,115,95,95,ice,40.6,1,0
125,Electabuzz,83,57,1.1,65,75.4,95,85,105,electric,30,1,0
126,Magmar,95,57,1.3,65,75.4,100,85,93,fire,44.5,1,0
127,Pinsir,155,120,1.5,65,50,65,90,105,bug,55,1,0
128,Tauros,100,95,1.4,75,100,40,70,110,normal,88.4,1,0
129,Magikarp,10,55,0.9,20,50,15,20,80,water,10,1,0
130,Gyarados,155,109,6.5,95,50,70,130,81,water,235,1,0
131,Lapras,85,80,2.5,130,50,85,95,60,water,220,1,0
132,Ditto,48,48,0.3,48,,48,48,48,normal,4,1,0
133,Eevee,55,50,0.3,55,88.1,45,65,55,normal,6.5,1,0
134,Vaporeon,65,60,1,130,88.1,110,95,65,water,29,1,0
135,Jolteon,65,60,0.8,65,88.1,110,95,130,electric,24.5,1,0
136,Flareon,130,60,0.9,65,88.1,95,110,65,fire,25,1,0
137,Porygon,60,70,0.8,65,,85,75,40,normal,36.5,1,0
138,Omanyte,40,100,0.4,35,88.1,90,55,35,rock,7.5,1,0
139,Omastar,60,125,1,70,88.1,115,70,55,rock,35,1,0
140,Kabuto,80,90,0.5,30,88.1,55,45,55,rock,11.5,1,0
141,Kabutops,115,105,1.3,60,88.1,65,70,80,rock,40.5,1,0
142,Aerodactyl,135,85,1.8,80,88.1,70,95,150,rock,59,1,0
143,Snorlax,110,65,2.1,160,88.1,65,110,30,normal,460,1,0
144,Articuno,85,100,1.7,90,,95,125,85,ice,55.4,1,1
145,Zapdos,90,85,1.6,90,,125,90,100,electric,52.6,1,1
146,Moltres,100,90,2,90,,125,85,90,fire,60,1,1
147,Dratini,64,45,1.8,41,50,50,50,50,dragon,3.3,1,0
148,Dragonair,84,65,4,61,50,70,70,70,dragon,16.5,1,0
149,Dragonite,134,95,2.2,91,50,100,100,80,dragon,210,1,0
150,Mewtwo,150,70,2,106,,194,120,140,psychic,122,1,1
151,Mew,100,100,0.4,100,,100,100,100,psychic,4,1,1
152,Chikorita,49,65,0.9,45,88.1,49,65,45,grass,6.4,2,0
153,Bayleef,62,80,1.2,60,88.1,63,80,60,grass,15.8,2,0
154,Meganium,82,100,1.8,80,88.1,83,100,80,grass,100.5,2,0
155,Cyndaquil,52,43,0.5,39,88.1,60,50,65,fire,7.9,2,0
156,Quilava,64,58,0.9,58,88.1,80,65,80,fire,19,2,0
157,Typhlosion,84,78,1.7,78,88.1,109,85,100,fire,79.5,2,0
158,Totodile,65,64,0.6,50,88.1,44,48,43,water,9.5,2,0
159,Croconaw,80,80,1.1,65,88.1,59,63,58,water,25,2,0
160,Feraligatr,105,100,2.3,85,88.1,79,83,78,water,88.8,2,0
161,Sentret,46,34,0.8,35,50,35,45,20,normal,6,2,0
162,Furret,76,64,1.8,85,50,45,55,90,normal,32.5,2,0
163,Hoothoot,30,30,0.7,60,50,36,56,50,normal,21.2,2,0
164,Noctowl,50,50,1.6,100,50,86,96,70,normal,40.8,2,0
165,Ledyba,20,30,1,40,50,40,80,55,bug,10.8,2,0
166,Ledian,35,50,1.4,55,50,55,110,85,bug,35.6,2,0
167,Spinarak,60,40,0.5,40,50,40,40,30,bug,8.5,2,0
168,Ariados,90,70,1.1,70,50,60,70,40,bug,33.5,2,0
169,Crobat,90,80,1.8,85,50,70,80,130,poison,75,2,0
170,Chinchou,38,38,0.5,75,50,56,56,67,water,12,2,0
171,Lanturn,58,58,1.2,125,50,76,76,67,water,22.5,2,0
172,Pichu,40,15,0.3,20,50,35,35,60,electric,2,2,0
173,Cleffa,25,28,0.3,50,24.6,45,55,15,fairy,3,2,0
174,Igglybuff,30,15,0.3,90,24.6,40,20,15,normal,1,2,0
175,Togepi,20,65,0.3,35,88.1,40,65,20,fairy,1.5,2,0
176,Togetic,40,85,0.6,55,88.1,80,105,40,fairy,3.2,2,0
177,Natu,50,45,0.2,40,50,70,45,70,psychic,2,2,0
178,Xatu,75,70,1.5,65,50,95,70,95,psychic,15,2,0
179,Mareep,40,40,0.6,55,50,65,45,35,electric,7.8,2,0
180,Flaaffy,55,55,0.8,70,50,80,60,45,electric,13.3,2,0
181,Ampharos,95,105,1.4,90,50,165,110,45,electric,61.5,2,0
182,Bellossom,80,95,0.4,75,50,90,100,50,grass,5.8,2,0
183,Marill,20,50,0.4,70,50,20,50,40,water,8.5,2,0
184,Azumarill,50,80,0.8,100,50,60,80,50,water,28.5,2,0
185,Sudowoodo,100,115,1.2,70,50,30,65,30,rock,38,2,0
186,Politoed,75,75,1.1,90,50,90,100,70,water,33.9,2,0
187,Hoppip,35,40,0.4,35,50,35,55,50,grass,0.5,2,0
188,Skiploom,45,50,0.6,55,50,45,65,80,grass,1,2,0
189,Jumpluff,55,70,0.8,75,50,55,95,110,grass,3,2,0
190,Aipom,70,55,0.8,55,50,40,55,85,normal,11.5,2,0
191,Sunkern,30,30,0.3,30,50,30,30,30,grass,1.8,2,0
192,Sunflora,75,55,0.8,75,50,105,85,30,grass,8.5,2,0
193,Yanma,65,45,1.2,65,50,75,45,95,bug,38,2,0
194,Wooper,45,45,0.4,55,50,25,25,15,water,8.5,2,0
195,Quagsire,85,85,1.4,95,50,65,65,35,water,75,2,0
196,Espeon,65,60,0.9,65,88.1,130,95,110,psychic,26.5,2,0
197,Umbreon,65,110,1,95,88.1,60,130,65,dark,27,2,0
198,Murkrow,85,42,0.5,60,50,85,42,91,dark,2.1,2,0
199,Slowking,75,80,2,95,50,100,110,30,water,79.5,2,0
200,Misdreavus,60,60,0.7,60,50,85,85,85,ghost,1,2,0
201,Unown,72,48,0.5,48,,72,48,48,psychic,5,2,0
202,Wobbuffet,33,58,1.3,190,50,33,58,33,psychic,28.5,2,0
203,Girafarig,80,65,1.5,70,50,90,65,85,normal,41.5,2,0
204,Pineco,65,90,0.6,50,50,35,35,15,bug,7.2,2,0
205,Forretress,90,140,1.2,75,50,60,60,40,bug,125.8,2,0
206,Dunsparce,70,70,1.5,100,50,65,65,45,normal,14,2,0
207,Gligar,75,105,1.1,65,50,35,65,85,ground,64.8,2,0
208,Steelix,125,230,9.2,75,50,55,95,30,steel,400,2,0
209,Snubbull,80,50,0.6,60,24.6,40,40,30,fairy,7.8,2,0
210,Granbull,120,75,1.4,90,24.6,60,60,45,fairy,48.7,2,0
211,Qwilfish,95,85,0.5,65,50,55,55,85,water,3.9,2,0
212,Scizor,150,140,1.8,70,50,65,100,75,bug,118,2,0
213,Shuckle,10,230,0.6,20,50,10,230,5,bug,20.5,2,0
214,Heracross,185,115,1.5,80,50,40,105,75,bug,54,2,0
215,Sneasel,95,55,0.9,55,50,35,75,115,dark,28,2,0
216,Teddiursa,80,50,0.6,60,50,50,50,40,normal,8.8,2,0
217,Ursaring,130,75,1.8,90,50,75,75,55,normal,125.8,2,0
218,Slugma,40,40,0.7,40,50,70,40,20,fire,35,2,0
219,Magcargo,50,120,0.8,60,50,90,80,30,fire,55,2,0
220,Swinub,50,40,0.4,50,50,30,30,50,ice,6.5,2,0
221,Piloswine,100,80,1.1,100,50,60,60,50,ice,55.8,2,0
222,Corsola,55,95,0.6,65,24.6,65,95,35,water,5,2,0
223,Remoraid,65,35,0.6,35,50,65,35,65,water,12,2,0
224,Octillery,105,75,0.9,75,50,105,75,45,water,28.5,2,0
225,Delibird,55,45,0.9,45,50,65,45,75,ice,16,2,0
226,Mantine,40,70,2.1,85,50,80,140,70,water,220,2,0
227,Skarmory,80,140,1.7,65,50,40,70,70,steel,50.5,2,0
228,Houndour,60,30,0.6,45,50,80,50,65,dark,10.8,2,0
229,Houndoom,90,90,1.4,75,50,140,90,115,dark,35,2,0
230,Kingdra,95,95,1.8,75,50,95,95,85,water,152,2,0
231,Phanpy,60,60,0.5,90,50,40,40,40,ground,33.5,2,0
232,Donphan,120,120,1.1,90,50,60,60,50,ground,120,2,0
233,Porygon2,80,90,0.6,85,,105,95,60,normal,32.5,2,0
234,Stantler,95,62,1.4,73,50,85,65,85,normal,71.2,2,0
235,Smeargle,20,35,1.2,55,50,20,45,75,normal,58,2,0
236,Tyrogue,35,35,0.7,35,100,35,35,35,fighting,21,2,0
237,Hitmontop,95,95,1.4,50,100,35,110,70,fighting,48,2,0
238,Smoochum,30,15,0.4,45,0,85,65,65,ice,6,2,0
239,Elekid,63,37,0.6,45,75.4,65,55,95,electric,23.5,2,0
240,Magby,75,37,0.7,45,75.4,70,55,83,fire,21.4,2,0
241,Miltank,80,105,1.2,95,0,40,70,100,normal,75.5,2,0
242,Blissey,10,10,1.5,255,0,75,135,55,normal,46.8,2,0
243,Raikou,85,75,1.9,90,,115,100,115,electric,178,2,1
244,Entei,115,85,2.1,115,,90,75,100,fire,198,2,1
245,Suicune,75,115,2,100,,90,115,85,water,187,2,1
246,Larvitar,64,50,0.6,50,50,45,50,41,rock,72,2,0
247,Pupitar,84,70,1.2,70,50,65,70,51,rock,152,2,0
248,Tyranitar,164,150,2,100,50,95,120,71,rock,202,2,0
249,Lugia,90,130,5.2,106,,90,154,110,psychic,216,2,1
250,Ho-Oh,130,90,3.8,106,,110,154,90,fire,199,2,1
251,Celebi,100,100,0.6,100,,100,100,100,psychic,5,2,1
252,Treecko,45,35,0.5,40,88.1,65,55,70,grass,5,3,0
253,Grovyle,65,45,0.9,50,88.1,85,65,95,grass,21.6,3,0
254,Sceptile,110,75,1.7,70,88.1,145,85,145,grass,52.2,3,0
255,Torchic,60,40,0.4,45,88.1,70,50,45,fire,2.5,3,0
256,Combusken,85,60,0.9,60,88.1,85,60,55,fire,19.5,3,0
257,Blaziken,160,80,1.9,80,88.1,130,80,100,fire,52,3,0
258,Mudkip,70,50,0.4,50,88.1,50,50,40,water,7.6,3,0
259,Marshtomp,85,70,0.7,70,88.1,60,70,50,water,28,3,0
260,Swampert,150,110,1.5,100,88.1,95,110,70,water,81.9,3,0
261,Poochyena,55,35,0.5,35,50,30,30,35,dark,13.6,3,0
262,Mightyena,90,70,1,70,50,60,60,70,dark,37,3,0
263,Zigzagoon,30,41,0.4,38,50,30,41,60,normal,17.5,3,0
264,Linoone,70,61,0.5,78,50,50,61,100,normal,32.5,3,0
265,Wurmple,45,35,0.3,45,50,20,30,20,bug,3.6,3,0
266,Silcoon,35,55,0.6,50,50,25,25,15,bug,10,3,0
267,Beautifly,70,50,1,60,50,100,50,65,bug,28.4,3,0
268,Cascoon,35,55,0.7,50,50,25,25,15,bug,11.5,3,0
269,Dustox,50,70,1.2,60,50,50,90,65,bug,31.6,3,0
270,Lotad,30,30,0.5,40,50,40,50,30,water,2.6,3,0
271,Lombre,50,50,1.2,60,50,60,70,50,water,32.5,3,0
272,Ludicolo,70,70,1.5,80,50,90,100,70,water,55,3,0
273,Seedot,40,50,0.5,40,50,30,30,30,grass,4,3,0
274,Nuzleaf,70,40,1,70,50,60,40,60,grass,28,3,0
275,Shiftry,100,60,1.3,90,50,90,60,80,grass,59.6,3,0
276,Taillow,55,30,0.3,40,50,30,30,85,normal,2.3,3,0
277,Swellow,85,60,0.7,60,50,75,50,125,normal,19.8,3,0
278,Wingull,30,30,0.6,40,50,55,30,85,water,9.5,3,0
279,Pelipper,50,100,1.2,60,50,95,70,65,water,28,3,0
280,Ralts,25,25,0.4,28,50,45,35,40,psychic,6.6,3,0
281,Kirlia,35,35,0.8,38,50,65,55,50,psychic,20.2,3,0
282,Gardevoir,85,65,1.6,68,50,165,135,100,psychic,48.4,3,0
283,Surskit,30,32,0.5,40,50,50,52,65,bug,1.7,3,0
284,Masquerain,60,62,0.8,70,50,100,82,80,bug,3.6,3,0
285,Shroomish,40,60,0.4,60,50,40,60,35,grass,4.5,3,0
286,Breloom,130,80,1.2,60,50,60,60,70,grass,39.2,3,0
287,Slakoth,60,60,0.8,60,50,35,35,30,normal,24,3,0
288,Vigoroth,80,80,1.4,80,50,55,55,90,normal,46.5,3,0
289,Slaking,160,100,2,150,50,95,65,100,normal,130.5,3,0
290,Nincada,45,90,0.5,31,50,30,30,40,bug,5.5,3,0
291,Ninjask,90,45,0.8,61,50,50,50,160,bug,12,3,0
292,Shedinja,90,45,0.8,1,,30,30,40,bug,1.2,3,0
293,Whismur,51,23,0.6,64,50,51,23,28,normal,16.3,3,0
294,Loudred,71,43,1,84,50,71,43,48,normal,40.5,3,0
295,Exploud,91,63,1.5,104,50,91,73,68,normal,84,3,0
296,Makuhita,60,30,1,72,75.4,20,30,25,fighting,86.4,3,0
297,Hariyama,120,60,2.3,144,75.4,40,60,50,fighting,253.8,3,0
298,Azurill,20,40,0.2,50,24.6,20,40,20,normal,2,3,0
299,Nosepass,45,135,1,30,50,45,90,30,rock,97,3,0
300,Skitty,45,45,0.6,50,24.6,35,35,50,normal,11,3,0
301,Delcatty,65,65,1.1,70,24.6,55,55,90,normal,32.6,3,0
302,Sableye,85,125,0.5,50,50,85,115,20,dark,11,3,0
303,Mawile,105,125,0.6,50,50,55,95,50,steel,11.5,3,0
304,Aron,70,100,0.4,50,50,40,40,30,steel,60,3,0
305,Lairon,90,140,0.9,60,50,50,50,40,steel,120,3,0
306,Aggron,140,230,2.1,70,50,60,80,50,steel,360,3,0
307,Meditite,40,55,0.6,30,50,40,55,60,fighting,11.2,3,0
308,Medicham,100,85,1.3,60,50,80,85,100,fighting,31.5,3,0
309,Electrike,45,40,0.6,40,50,65,40,65,electric,15.2,3,0
310,Manectric,75,80,1.5,70,50,135,80,135,electric,40.2,3,0
311,Plusle,50,40,0.4,60,50,85,75,95,electric,4.2,3,0
312,Minun,40,50,0.4,60,50,75,85,95,electric,4.2,3,0
313,Volbeat,73,75,0.7,65,100,47,85,85,bug,17.7,3,0
314,Illumise,47,75,0.6,65,0,73,85,85,bug,17.7,3,0
315,Roselia,60,45,0.3,50,50,100,80,65,grass,2,3,0
316,Gulpin,43,53,0.4,70,50,43,53,40,poison,10.3,3,0
317,Swalot,73,83,1.7,100,50,73,83,55,poison,80,3,0
318,Carvanha,90,20,0.8,45,50,65,20,65,water,20.8,3,0
319,Sharpedo,140,70,1.8,70,50,110,65,105,water,88.8,3,0
320,Wailmer,70,35,2,130,50,70,35,60,water,130,3,0
321,Wailord,90,45,14.5,170,50,90,45,60,water,398,3,0
322,Numel,60,40,0.7,60,50,65,45,35,fire,24,3,0
323,Camerupt,120,100,1.9,70,50,145,105,20,fire,220,3,0
324,Torkoal,85,140,0.5,70,50,85,70,20,fire,80.4,3,0
325,Spoink,25,35,0.7,60,50,70,80,60,psychic,30.6,3,0
326,Grumpig,45,65,0.9,80,50,90,110,80,psychic,71.5,3,0
327,Spinda,60,60,1.1,60,50,60,60,60,normal,5,3,0
328,Trapinch,100,45,0.7,45,50,45,45,10,ground,15,3,0
329,Vibrava,70,50,1.1,50,50,50,50,70,ground,15.3,3,0
330,Flygon,100,80,2,80,50,80,80,100,ground,82,3,0
331,Cacnea,85,40,0.4,50,50,85,40,35,grass,51.3,3,0
332,Cacturne,115,60,1.3,70,50,115,60,55,grass,77.4,3,0
333,Swablu,40,60,0.4,45,50,40,75,50,normal,1.2,3,0
334,Altaria,110,110,1.1,75,50,110,105,80,dragon,20.6,3,0
335,Zangoose,115,60,1.3,73,50,60,60,90,normal,40.3,3,0
336,Seviper,100,60,2.7,73,50,100,60,65,poison,52.5,3,0
337,Lunatone,55,65,1,90,,95,85,70,rock,168,3,0
338,Solrock,95,85,1.2,90,,55,65,70,rock,154,3,0
339,Barboach,48,43,0.4,50,50,46,41,60,water,1.9,3,0
340,Whiscash,78,73,0.9,110,50,76,71,60,water,23.6,3,0
341,Corphish,80,65,0.6,43,50,50,35,35,water,11.5,3,0
342,Crawdaunt,120,85,1.1,63,50,90,55,55,water,32.8,3,0
343,Baltoy,40,55,0.5,40,,40,70,55,ground,21.5,3,0
344,Claydol,70,105,1.5,60,,70,120,75,ground,108,3,0
345,Lileep,41,77,1,66,88.1,61,87,23,rock,23.8,3,0
346,Cradily,81,97,1.5,86,88.1,81,107,43,rock,60.4,3,0
347,Anorith,95,50,0.7,45,88.1,40,50,75,rock,12.5,3,0
348,Armaldo,125,100,1.5,75,88.1,70,80,45,rock,68.2,3,0
349,Feebas,15,20,0.6,20,50,10,55,80,water,7.4,3,0
350,Milotic,60,79,6.2,95,50,100,125,81,water,162,3,0
351,Castform,70,70,0.3,70,50,70,70,70,normal,0.8,3,0
352,Kecleon,90,70,1,60,50,60,120,40,normal,22,3,0
353,Shuppet,75,35,0.6,44,50,63,33,45,ghost,2.3,3,0
354,Banette,165,75,1.1,64,50,93,83,75,ghost,12.5,3,0
355,Duskull,40,90,0.8,20,50,30,90,25,ghost,15,3,0
356,Dusclops,70,130,1.6,40,50,60,130,25,ghost,30.6,3,0
357,Tropius,68,83,2,99,50,72,87,51,grass,100,3,0
358,Chimecho,50,80,0.6,75,50,95,90,65,psychic,1,3,0
359,Absol,150,60,1.2,65,50,115,60,115,dark,47,3,0
360,Wynaut,23,48,0.6,95,50,23,48,23,psychic,14,3,0
361,Snorunt,50,50,0.7,50,50,50,50,50,ice,16.8,3,0
362,Glalie,120,80,1.5,80,50,120,80,100,ice,256.5,3,0
363,Spheal,40,50,0.8,70,50,55,50,25,ice,39.5,3,0
364,Sealeo,60,70,1.1,90,50,75,70,45,ice,87.6,3,0
365,Walrein,80,90,1.4,110,50,95,90,65,ice,150.6,3,0
366,Clamperl,64,85,0.4,35,50,74,55,32,water,52.5,3,0
367,Huntail,104,105,1.7,55,50,94,75,52,water,27,3,0
368,Gorebyss,84,105,1.8,55,50,114,75,52,water,22.6,3,0
369,Relicanth,90,130,1,100,88.1,45,65,55,water,23.4,3,0
370,Luvdisc,30,55,0.6,43,24.6,40,65,97,water,8.7,3,0
371,Bagon,75,60,0.6,45,50,40,30,50,dragon,42.1,3,0
372,Shelgon,95,100,1.1,65,50,60,50,50,dragon,110.5,3,0
373,Salamence,145,130,1.5,95,50,120,90,120,dragon,102.6,3,0
374,Beldum,55,80,0.6,40,,35,60,30,steel,95.2,3,0
375,Metang,75,100,1.2,60,,55,80,50,steel,202.5,3,0
376,Metagross,145,150,1.6,80,,105,110,110,steel,550,3,0
377,Regirock,100,200,1.7,80,,50,100,50,rock,230,3,1
378,Regice,50,100,1.8,80,,100,200,50,ice,175,3,1
379,Registeel,75,150,1.9,80,,75,150,50,steel,205,3,1
380,Latias,100,120,1.4,80,0,140,150,110,dragon,40,3,1
381,Latios,130,100,2,80,100,160,120,110,dragon,60,3,1
382,Kyogre,150,90,4.5,100,,180,160,90,water,352,3,1
383,Groudon,180,160,3.5,100,,150,90,90,ground,950,3,1
384,Rayquaza,180,100,7,105,,180,100,115,dragon,206.5,3,1
385,Jirachi,100,100,0.3,100,,100,100,100,steel,1.1,3,1
386,Deoxys,95,90,1.7,50,,95,90,180,psychic,60.8,3,1
387,Turtwig,68,64,0.4,55,88.1,45,55,31,grass,10.2,4,0
388,Grotle,89,85,1.1,75,88.1,55,65,36,grass,97,4,0
389,Torterra,109,105,2.2,95,88.1,75,85,56,grass,310,4,0
