JURISDICTION,YEAR,POPULATION,MURDER,RAPE,ROBBERY,AGG. ASSAULT,B & E,LARCENY THEFT,M/V THEFT,GRAND TOTAL,PERCENT CHANGE,VIOLENT CRIME TOTAL,VIOLENT CRIME PERCENT,VIOLENT CRIME PERCENT CHANGE,PROPERTY CRIME TOTALS,PROPERTY CRIME PERCENT,PROPERTY CRIME PERCENT CHANGE,"OVERALL CRIME RATE PER 100,000 PEOPLE","OVERALL PERCENT CHANGE PER 100,000 PEOPLE","VIOLENT CRIME RATE PER 100,000 PEOPLE","VIOLENT CRIME RATE PERCENT CHANGE PER 100,000 PEOPLE","PROPERTY CRIME RATE PER 100,000 PEOPLE","PROPERTY CRIME RATE PERCENT CHANGE PER 100,000 PEOPLE","MURDER PER 100,000 PEOPLE","RAPE PER 100,000 PEOPLE","ROBBERY PER 100,000 PEOPLE","AGG. ASSAULT PER 100,000 PEOPLE","B & E PER 100,000 PEOPLE","LARCENY THEFT PER 100,000 PEOPLE","M/V THEFT PER 100,000 PEOPLE","MURDER  RATE PERCENT CHANGE PER 100,000 PEOPLE","RAPE RATE PERCENT CHANGE PER 100,000 PEOPLE","ROBBERY RATE PERCENT CHANGE PER 100,000 PEOPLE","AGG. ASSAULT  RATE PERCENT CHANGE PER 100,000 PEOPLE","B & E RATE PERCENT CHANGE PER 100,000 PEOPLE","LARCENY THEFT  RATE PERCENT CHANGE PER 100,000 PEOPLE","M/V THEFT  RATE PERCENT CHANGE PER 100,000 PEOPLE"
Allegany County,01/01/2006 12:00:00 AM,73841,1,29,37,215,542,1586,83,2493,8,282,11.3,8.5,2211,88.7,8,3376.2,8.9,381.9,9.3,2994.3,8.8,1.4,39.3,50.1,291.2,734,2147.9,112.4,0.8,-2.6,148.6,1.3,18.8,4.4,46.8
Allegany County,01/01/2007 12:00:00 AM,71977,0,20,35,207,536,1631,92,2521,1.1,262,10.4,-7.1,2259,89.6,2.2,3502.5,3.7,364,-4.7,3138.5,4.8,0,27.8,48.6,287.6,744.7,2266,127.8,-100,-29.2,-3,-1.2,1.5,5.5,13.7
Allegany County,01/01/2008 12:00:00 AM,71806,1,17,34,188,517,1657,49,2463,-2.3,240,9.7,-8.4,2223,90.3,-1.6,3430.1,-2.1,334.2,-8.2,3095.8,-1.4,1.4,23.7,47.3,261.8,720,2307.6,68.2,139.3,-14.8,-2.6,-9,-3.3,1.8,-46.6
Allegany County,01/01/2009 12:00:00 AM,72312,1,25,38,259,606,1622,49,2600,5.6,323,12.4,34.6,2277,87.6,2.4,3595.5,4.8,446.7,33.6,3148.9,1.7,1.4,34.6,52.6,358.2,838,2243.1,67.8,-0.7,46,11,36.8,16.4,-2.8,-0.7
Allegany County,01/01/2010 12:00:00 AM,72721,4,26,48,234,596,1921,49,2878,10.7,312,10.8,-3.4,2566,89.2,12.7,3957.6,10.1,429,-3.9,3528.6,12.1,5.5,35.8,66,321.8,819.6,2641.6,67.4,297.8,3.4,25.6,-10.2,-2.2,17.8,-0.6
Allegany County,01/01/2011 12:00:00 AM,75799,6,30,62,153,608,1866,43,2768,-3.8,251,9.1,-19.6,2517,90.9,-1.9,3651.8,-7.7,331.1,-22.8,3320.6,-5.9,7.9,39.6,81.8,201.8,802.1,2461.8,56.7,43.9,10.7,23.9,-37.3,-2.1,-6.8,-15.8
Allegany County,01/01/2012 12:00:00 AM,75413,3,22,42,201,571,1904,67,2810,1.5,268,9.5,6.8,2542,90.5,1,3726.1,2,355.4,7.3,3370.8,1.5,4,29.2,55.7,266.5,757.2,2524.8,88.8,-49.7,-26.3,-31.9,32,-5.6,2.6,56.6
Allegany County,01/01/2013 12:00:00 AM,73834,4,28,63,154,547,1787,54,2637,-6.2,249,9.4,-7.1,2388,90.6,-6.1,3571.5,-4.1,337.2,-5.1,3234.3,-4,5.4,37.9,85.3,208.6,740.9,2420.3,73.1,36.2,30,53.2,-21.7,-2.2,-4.1,-17.7
Allegany County,01/01/2014 12:00:00 AM,73299,2,15,31,153,550,1787,42,2580,-2.2,201,7.8,-19.3,2379,92.2,-0.4,3519.8,-1.4,274.2,-18.7,3245.6,0.4,2.7,20.5,42.3,208.7,750.4,2438,57.3,-49.6,-46,-50.4,0.1,1.3,0.7,-21.7
Allegany County ,01/01/2015 12:00:00 AM,72230,3,24,58,133,486,1737,49,2490,-3.5,218,8.8,8.5,2272,91.2,-4.5,3447.3,-2.1,301.8,10.1,3145.5,-3.1,4.2,33.2,80.3,184.1,672.9,2404.8,67.8,52.2,62.4,89.9,-11.8,-10.3,-1.4,18.4
Allegany County ,01/01/2016 12:00:00 AM,71622,5,16,65,159,388,1642,44,2319,-6.9,245,10.6,12.4,2074,89.4,-8.7,3237.8,-6.1,342.1,13.3,2895.8,-7.9,7,22.3,90.8,222,541.7,2292.6,61.4,68.1,-32.8,13,20.6,-19.5,-4.7,-9.4
Anne Arundel County,01/01/1975 12:00:00 AM,331390,16,74,413,1514,5662,12736,1986,22401,,2017,9,,20384,91,,6759.7,,608.6,,6151.1,,4.8,22.3,124.6,456.9,1708.6,3843.2,599.3,,,,,,,
Anne Arundel County,01/01/1976 12:00:00 AM,340345,10,77,330,619,4653,11535,1520,18744,-16.3,1036,5.5,-48.6,17708,94.5,-13.1,5507.4,-18.5,304.4,-50,5203,-15.4,2.9,22.6,97,181.9,1367.1,3389.2,446.6,-39.1,1.3,-22.2,-60.2,-20,-11.8,-25.5
Anne Arundel County,01/01/1977 12:00:00 AM,347538,16,118,396,656,5091,10783,1436,18496,-1.3,1186,6.4,14.5,17310,93.6,-2.2,5322,-3.4,341.3,12.1,4980.8,-4.3,4.6,34,113.9,188.8,1464.9,3102.7,413.2,56.7,50.1,17.5,3.8,7.1,-8.5,-7.5
Anne Arundel County,01/01/1978 12:00:00 AM,363169,17,68,349,710,4694,10120,1161,17119,-7.4,1144,6.7,-3.5,15975,93.3,-7.7,4713.8,-11.4,315,-7.7,4398.8,-11.7,4.7,18.7,96.1,195.5,1292.5,2786.6,319.7,1.7,-44.9,-15.7,3.6,-11.8,-10.2,-22.6
Anne Arundel County,01/01/1979 12:00:00 AM,361749,13,84,301,728,4430,10633,1264,17453,2,1126,6.5,-1.6,16327,93.5,2.2,4824.6,2.4,311.3,-1.2,4513.4,2.6,3.6,23.2,83.2,201.2,1224.6,2939.3,349.4,-23.2,24,-13.4,2.9,-5.3,5.5,9.3
Anne Arundel County,01/01/1980 12:00:00 AM,370099,20,117,352,815,5444,12215,1353,20316,16.4,1304,6.4,15.8,19012,93.6,16.4,5489.3,13.8,352.3,13.2,5137,13.8,5.4,31.6,95.1,220.2,1471,3300.5,365.6,50.4,36.1,14.3,9.4,20.1,12.3,4.6
Anne Arundel County,01/01/1981 12:00:00 AM,376172,23,85,488,820,5105,12638,1276,20435,0.6,1416,6.9,8.6,19019,93.1,0,5432.4,-1,376.4,6.8,5055.9,-1.6,6.1,22.6,129.7,218,1357.1,3359.6,339.2,13.1,-28.5,36.4,-1,-7.7,1.8,-7.2
Anne Arundel County,01/01/1982 12:00:00 AM,376525,19,83,420,844,4614,11667,1128,18775,-8.1,1366,7.3,-3.5,17409,92.7,-8.5,4986.4,-8.2,362.8,-3.6,4623.6,-8.6,5,22,111.5,224.2,1225.4,3098.6,299.6,-17.5,-2.4,-14,2.8,-9.7,-7.8,-11.7
Anne Arundel County,01/01/1983 12:00:00 AM,379967,13,71,465,935,4392,10067,951,16894,-10,1484,8.8,8.6,15410,91.2,-11.5,4446.2,-10.8,390.6,7.7,4055.6,-12.3,3.4,18.7,122.4,246.1,1155.9,2649.4,250.3,-32.2,-15.2,9.7,9.8,-5.7,-14.5,-16.5
Anne Arundel County,01/01/1984 12:00:00 AM,388659,16,97,416,1085,4269,10131,941,16955,0.4,1614,9.5,8.8,15341,90.5,-0.4,4362.4,-1.9,415.3,6.3,3947.2,-2.7,4.1,25,107,279.2,1098.4,2606.7,242.1,20.3,33.6,-12.5,13.4,-5,-1.6,-3.3
Anne Arundel County,01/01/1985 12:00:00 AM,392718,16,113,417,1204,4675,9602,1121,17148,1.1,1750,10.2,8.4,15398,89.8,0.4,4366.5,0.1,445.6,7.3,3920.9,-0.7,4.1,28.8,106.2,306.6,1190.4,2445,285.4,-1,15.3,-0.8,9.8,8.4,-6.2,17.9
Anne Arundel County,01/01/1986 12:00:00 AM,399108,20,133,369,979,5382,11299,1533,19715,15,1501,7.6,-14.2,18214,92.4,18.3,4939.8,13.1,376.1,-15.6,4563.7,16.4,5,33.3,92.5,245.3,1348.5,2831.1,384.1,23,15.8,-12.9,-20,13.3,15.8,34.6
Anne Arundel County,01/01/1987 12:00:00 AM,412522,19,115,383,895,4539,11676,1676,19303,-2.1,1412,7.3,-5.9,17891,92.7,-1.8,4679.3,-5.3,342.3,-9,4337,-5,4.6,27.9,92.8,217,1100.3,2830.4,406.3,-8.1,-16.3,0.4,-11.6,-18.4,0,5.8
Anne Arundel County,01/01/1988 12:00:00 AM,422647,18,83,420,975,4134,11577,1801,19008,-1.5,1496,7.9,5.9,17512,92.1,-2.1,4497.4,-3.9,354,3.4,4143.4,-4.5,4.3,19.6,99.4,230.7,978.1,2739.2,426.1,-7.5,-29.6,7,6.3,-11.1,-3.2,4.9
Anne Arundel County,01/01/1989 12:00:00 AM,424124,20,124,468,895,4009,11643,1805,18964,-0.2,1507,7.9,0.7,17457,92.1,-0.3,4471.3,-0.6,355.3,0.4,4116,-0.7,4.7,29.2,110.3,211,945.2,2745.2,425.6,10.7,48.9,11,-8.5,-3.4,0.2,-0.1
Anne Arundel County,01/01/1990 12:00:00 AM,427239,16,131,462,1017,4329,12448,2197,20600,8.6,1626,7.9,7.9,18974,92.1,8.7,4821.7,7.8,380.6,7.1,4441.1,7.9,3.7,30.7,108.1,238,1013.3,2913.6,514.2,-20.6,4.9,-2,12.8,7.2,6.1,20.8
Anne Arundel County,01/01/1991 12:00:00 AM,434253,12,126,643,1067,4259,13702,2084,21893,6.3,1848,8.4,13.7,20045,91.6,5.6,5041.5,4.6,425.6,11.8,4616,3.9,2.8,29,148.1,245.7,980.8,3155.3,479.9,-26.2,-5.4,36.9,3.2,-3.2,8.3,-6.7
Anne Arundel County,01/01/1992 12:00:00 AM,438543,12,136,655,1177,4205,13639,2101,21925,0.1,1980,9,7.1,19945,91,-0.5,4999.5,-0.8,451.5,6.1,4548,-1.5,2.7,31,149.4,268.4,958.9,3110.1,479.1,-1,6.9,0.9,9.2,-2.2,-1.4,-0.2
Anne Arundel County,01/01/1993 12:00:00 AM,445772,22,141,647,1394,4029,13273,1854,21360,-2.6,2204,10.3,11.3,19156,89.7,-4,4791.7,-4.2,494.4,9.5,4297.3,-5.5,4.9,31.6,145.1,312.7,903.8,2977.5,415.9,80.4,2,-2.8,16.5,-5.7,-4.3,-13.2
Anne Arundel County,01/01/1994 12:00:00 AM,449440,11,132,692,1287,3644,13281,1806,20853,-2.4,2122,10.2,-3.7,18731,89.8,-2.2,4639.8,-3.2,472.1,-4.5,4167.6,-3,2.4,29.4,154,286.4,810.8,2955,401.8,-50.4,-7.1,6.1,-8.4,-10.3,-0.8,-3.4
Anne Arundel County,01/01/1995 12:00:00 AM,459455,17,111,763,1081,3498,14035,1863,21368,2.5,1972,9.2,-7.1,19396,90.8,3.6,4650.7,0.2,429.2,-9.1,4221.5,1.3,3.7,24.2,166.1,235.3,761.3,3054.7,405.5,51.2,-17.7,7.9,-17.8,-6.1,3.4,0.9
Anne Arundel County,01/01/1996 12:00:00 AM,462188,16,86,771,1267,4003,14433,1797,22373,4.7,2140,9.6,8.5,20233,90.4,4.3,4840.7,4.1,463,7.9,4377.7,3.7,3.5,18.6,166.8,274.1,866.1,3122.8,388.8,-6.4,-23,0.5,16.5,13.8,2.2,-4.1
Anne Arundel County,01/01/1997 12:00:00 AM,464193,12,90,580,1416,3817,14055,1760,21730,-2.9,2098,9.7,-2,19632,90.3,-3,4681.2,-3.3,452,-2.4,4229.3,-3.4,2.6,19.4,124.9,305,822.3,3027.8,379.2,-25.3,4.2,-25.1,11.3,-5.1,-3,-2.5
Anne Arundel County,01/01/1998 12:00:00 AM,473811,7,117,631,1813,3525,13432,1529,21054,-3.1,2568,12.2,22.4,18486,87.8,-5.8,4443.5,-5.1,542,19.9,3901.6,-7.7,1.5,24.7,133.2,382.6,744,2834.9,322.7,-42.9,27.4,6.6,25.4,-9.5,-6.4,-14.9
Anne Arundel County,01/01/1999 12:00:00 AM,479474,7,117,541,2157,3495,13419,1418,21154,0.5,2822,13.3,9.9,18332,86.7,-0.8,4411.9,-0.7,588.6,8.6,3823.4,-2,1.5,24.4,112.8,449.9,728.9,2798.7,295.7,-1.2,-1.2,-15.3,17.6,-2,-1.3,-8.4
Anne Arundel County,01/01/2000 12:00:00 AM,489656,11,117,646,2610,3147,13402,1398,21331,0.8,3384,15.9,19.9,17947,84.1,-2.1,4356.3,-1.3,691.1,17.4,3665.2,-4.1,2.2,23.9,131.9,533,642.7,2737,285.5,53.9,-2.1,16.9,18.5,-11.8,-2.2,-3.5
Anne Arundel County,01/01/2001 12:00:00 AM,496929,11,119,736,2932,3206,13747,1258,22009,3.2,3798,17.3,12.2,18211,82.7,1.5,4429,1.7,764.3,10.6,3664.7,0,2.2,23.9,148.1,590,645.2,2766.4,253.2,-1.5,0.2,12.3,10.7,0.4,1.1,-11.3
Anne Arundel County,01/01/2002 12:00:00 AM,504601,17,94,754,2742,3191,13501,1484,21783,-1,3607,16.6,-5,18176,83.4,-0.2,4316.9,-2.5,714.8,-6.5,3602.1,-1.7,3.4,18.6,149.4,543.4,632.4,2675.6,294.1,52.2,-22.2,0.9,-7.9,-2,-3.3,16.2
Anne Arundel County,01/01/2003 12:00:00 AM,508071,24,93,753,2633,3107,13234,1441,21285,-2.3,3503,16.5,-2.9,17782,83.5,-2.2,4189.4,-3,689.5,-3.5,3499.9,-2.8,4.7,18.3,148.2,518.2,611.5,2604.8,283.6,40.2,-1.7,-0.8,-4.6,-3.3,-2.6,-3.6
Anne Arundel County,01/01/2004 12:00:00 AM,511140,16,110,767,2403,2986,12391,1631,20304,-4.6,3296,16.2,-5.9,17008,83.8,-4.4,3972.3,-5.2,644.8,-6.5,3327.5,-4.9,3.1,21.5,150.1,470.1,584.2,2424.2,319.1,-33.7,17.6,1.2,-9.3,-4.5,-6.9,12.5
Anne Arundel County,01/01/2005 12:00:00 AM,512445,16,88,865,2198,3122,12288,1524,20101,-1,3167,15.8,-3.9,16934,84.2,-0.4,3922.6,-1.3,618,-4.2,3304.5,-0.7,3.1,17.2,168.8,428.9,609.2,2397.9,297.4,-0.3,-20.2,12.5,-8.8,4.3,-1.1,-6.8
Anne Arundel County,01/01/2006 12:00:00 AM,512277,23,110,943,2091,3420,12217,1654,20458,1.8,3167,15.5,0,17291,84.5,2.1,3993.5,1.8,618.2,0,3375.3,2.1,4.5,21.5,184.1,408.2,667.6,2384.8,322.9,43.8,25,9.1,-4.8,9.6,-0.5,8.6
Anne Arundel County,01/01/2007 12:00:00 AM,508164,20,90,910,2048,3412,13295,1667,21442,4.8,3068,14.3,-3.1,18374,85.7,6.3,4219.5,5.7,603.7,-2.3,3615.8,7.1,3.9,17.7,179.1,403,671.4,2616.3,328,-12.3,-17.5,-2.7,-1.3,0.6,9.7,1.6
Anne Arundel County,01/01/2008 12:00:00 AM,511145,18,109,810,1994,3419,14302,1581,22233,3.7,2931,13.2,-4.5,19302,86.8,5.1,4349.6,3.1,573.4,-5,3776.2,4.4,3.5,21.3,158.5,390.1,668.9,2798,309.3,-10.5,20.4,-11.5,-3.2,-0.4,6.9,-5.7
Anne Arundel County,01/01/2009 12:00:00 AM,517763,16,95,746,2063,3067,12763,1134,19884,-10.6,2920,14.7,-0.4,16964,85.3,-12.1,3840.4,-11.7,564,-1.6,3276.4,-13.2,3.1,18.3,144.1,398.4,592.4,2465,219,-12.2,-14,-9.1,2.1,-11.4,-11.9,-29.2
Anne Arundel County,01/01/2010 12:00:00 AM,527278,18,113,661,2137,2860,11732,1236,18757,-5.7,2929,15.6,0.3,15828,84.4,-6.7,3557.3,-7.4,555.5,-1.5,3001.8,-8.4,3.4,21.4,125.4,405.3,542.4,2225,234.4,10.5,16.8,-13,1.7,-8.4,-9.7,7
Anne Arundel County,01/01/2011 12:00:00 AM,542753,15,91,597,1972,2259,11394,832,17160,-8.5,2675,15.6,-8.7,14485,84.4,-8.5,3161.7,-11.1,492.9,-11.3,2668.8,-11.1,2.8,16.8,110,363.3,416.2,2099.3,153.3,-19,-21.8,-12.3,-10.4,-23.3,-5.7,-34.6
Anne Arundel County,01/01/2012 12:00:00 AM,549659,13,100,538,1630,2585,11299,888,17053,-0.6,2281,13.4,-14.7,14772,86.6,2,3102.5,-1.9,415,-15.8,2687.5,0.7,2.4,18.2,97.9,296.5,470.3,2055.6,161.6,-14.4,8.5,-11,-18.4,13,-2.1,5.4
