Date,SVENY01,SVENY02,SVENY03,SVENY04,SVENY05,SVENY06,SVENY07,SVENY08,SVENY09,SVENY10,SVENY11,SVENY12,SVENY13,SVENY14,SVENY15,SVENY16,SVENY17,SVENY18,SVENY19,SVENY20,SVENY21,SVENY22,SVENY23,SVENY24,SVENY25,SVENY26,SVENY27,SVENY28,SVENY29,SVENY30
2019-02-05,2.5317,2.5075,2.5034,2.5139,2.5345,2.5618,2.5934,2.6271,2.6616,2.6959,2.7292,2.7611,2.7913,2.8198,2.8465,2.8715,2.8949,2.9169,2.9378,2.9576,2.9767,2.9953,3.0134,3.0315,3.0496,3.0679,3.0865,3.1057,3.1254,3.1459
2019-02-04,2.5383,2.519,2.5183,2.5311,2.5532,2.5815,2.6136,2.6477,2.6826,2.7171,2.7508,2.7832,2.814,2.8432,2.8706,2.8965,2.9208,2.9437,2.9654,2.9861,3.0059,3.025,3.0437,3.0619,3.08,3.098,3.116,3.1343,3.1528,3.1717
2019-02-01,2.5322,2.5016,2.4945,2.5039,2.5242,2.5515,2.5829,2.6163,2.6503,2.6839,2.7165,2.7477,2.7774,2.8056,2.8323,2.8575,2.8816,2.9045,2.9266,2.948,2.9688,2.9892,3.0094,3.0294,3.0495,3.0696,3.0899,3.1105,3.1314,3.1526
2019-01-31,2.5096,2.4451,2.4203,2.4219,2.4409,2.4703,2.5057,2.5439,2.5826,2.6206,2.6571,2.6916,2.724,2.7544,2.7829,2.8098,2.8351,2.8593,2.8826,2.9052,2.9272,2.949,2.9707,2.9924,3.0143,3.0364,3.0588,3.0817,3.105,3.1287
2019-01-30,2.5512,2.4995,2.4818,2.4876,2.5088,2.5396,2.5759,2.6147,2.654,2.6926,2.7295,2.7643,2.797,2.8274,2.8557,2.8822,2.907,2.9304,2.9527,2.9742,2.9952,3.0158,3.0363,3.0568,3.0776,3.0987,3.1203,3.1425,3.1654,3.189
2019-01-29,2.5746,2.5481,2.5396,2.5446,2.5594,2.581,2.6072,2.6362,2.6668,2.698,2.7291,2.7595,2.789,2.8174,2.8445,2.8704,2.895,2.9184,2.9408,2.9622,2.9828,3.0027,3.022,3.0409,3.0594,3.0778,3.096,3.1142,3.1325,3.151
2019-01-28,2.5862,2.5697,2.5678,2.5769,2.5939,2.6165,2.6428,2.6714,2.7012,2.7314,2.7614,2.7908,2.8193,2.8467,2.873,2.8982,2.9221,2.945,2.9668,2.9877,3.0078,3.0271,3.0458,3.0641,3.0819,3.0994,3.1167,3.1338,3.1509,3.168
2019-01-25,2.5879,2.5738,2.5737,2.5839,2.6016,2.6244,2.6507,2.679,2.7084,2.738,2.7673,2.7959,2.8235,2.8501,2.8755,2.8997,2.9227,2.9447,2.9657,2.9859,3.0053,3.024,3.0423,3.0601,3.0777,3.0951,3.1124,3.1298,3.1472,3.1649
2019-01-24,2.5638,2.5425,2.5384,2.5467,2.5639,2.5872,2.6144,2.6438,2.6743,2.705,2.7351,2.7644,2.7926,2.8195,2.8452,2.8695,2.8927,2.9147,2.9358,2.9561,2.9758,2.9949,3.0137,3.0323,3.0508,3.0693,3.088,3.1069,3.1262,3.1459
2019-01-23,2.577,2.5668,2.5695,2.5817,2.6008,2.6247,2.6516,2.6804,2.7101,2.7399,2.7694,2.7982,2.8261,2.8529,2.8786,2.9031,2.9265,2.9489,2.9702,2.9908,3.0105,3.0296,3.0482,3.0664,3.0842,3.1017,3.1192,3.1365,3.1539,3.1714
2019-01-22,2.5762,2.5591,2.5578,2.5679,2.586,2.6096,2.6366,2.6658,2.6958,2.726,2.7559,2.785,2.8131,2.8402,2.8661,2.8909,2.9146,2.9374,2.9593,2.9805,3.001,3.021,3.0406,3.0598,3.0789,3.0978,3.1167,3.1356,3.1546,3.1738
2019-01-18,2.5927,2.5914,2.5996,2.6148,2.6351,2.6589,2.6852,2.7128,2.7412,2.7697,2.798,2.8258,2.8528,2.879,2.9043,2.9286,2.9521,2.9746,2.9963,3.0171,3.0373,3.0569,3.0759,3.0944,3.1125,3.1303,3.1478,3.1651,3.1823,3.1994
2019-01-17,2.5704,2.554,2.5549,2.5679,2.5893,2.616,2.646,2.6775,2.7095,2.7412,2.7721,2.8018,2.8302,2.8572,2.8829,2.9073,2.9305,2.9527,2.9741,2.9947,3.0148,3.0345,3.0539,3.0731,3.0922,3.1115,3.1308,3.1504,3.1702,3.1904
2019-01-16,2.5588,2.5306,2.5249,2.5349,2.5557,2.5833,2.615,2.6489,2.6835,2.7179,2.7513,2.7835,2.8143,2.8434,2.8711,2.8974,2.9223,2.9461,2.969,2.9911,3.0125,3.0334,3.0541,3.0745,3.0948,3.1151,3.1355,3.1561,3.177,3.1981
2019-01-15,2.5569,2.5187,2.5082,2.5169,2.5382,2.5676,2.6017,2.6381,2.6751,2.7118,2.7473,2.7812,2.8135,2.844,2.8729,2.9002,2.926,2.9506,2.9742,2.9969,3.0188,3.0403,3.0613,3.082,3.1026,3.1231,3.1436,3.1642,3.185,3.2059
2019-01-14,2.5598,2.522,2.5098,2.5159,2.5347,2.5618,2.5941,2.6293,2.6656,2.7019,2.7373,2.7714,2.8039,2.8347,2.8636,2.8909,2.9166,2.9408,2.9638,2.9857,3.0067,3.027,3.0468,3.0662,3.0853,3.1043,3.1233,3.1425,3.1618,3.1813
2019-01-11,2.5701,2.5283,2.5131,2.517,2.534,2.5598,2.591,2.6253,2.6606,2.696,2.7304,2.7633,2.7945,2.8238,2.8511,2.8767,2.9007,2.9231,2.9444,2.9647,2.9842,3.0031,3.0217,3.0402,3.0587,3.0774,3.0965,3.116,3.1362,3.157
2019-01-10,2.5765,2.5479,2.5405,2.5484,2.567,2.5929,2.6232,2.656,2.6898,2.7235,2.7564,2.7879,2.8178,2.846,2.8724,2.8971,2.9202,2.9419,2.9623,2.9818,3.0004,3.0184,3.0361,3.0535,3.0709,3.0884,3.1062,3.1245,3.1433,3.1627
2019-01-09,2.5815,2.5508,2.5427,2.5506,2.5694,2.5954,2.6257,2.658,2.691,2.7235,2.7548,2.7845,2.8124,2.8385,2.8626,2.885,2.9059,2.9255,2.9439,2.9615,2.9784,2.9949,3.0112,3.0275,3.0439,3.0608,3.0781,3.096,3.1146,3.1341
2019-01-08,2.5955,2.5687,2.5599,2.5642,2.5781,2.5984,2.6231,2.6503,2.6787,2.7074,2.7357,2.7631,2.7893,2.8142,2.8377,2.8598,2.8806,2.9002,2.9188,2.9365,2.9534,2.9699,2.9859,3.0018,3.0176,3.0336,3.0497,3.0663,3.0834,3.101
2019-01-07,2.568,2.5282,2.5141,2.5182,2.5348,2.5595,2.5891,2.6212,2.6542,2.6868,2.7182,2.7481,2.776,2.802,2.8261,2.8485,2.8693,2.8888,2.9072,2.9248,2.9418,2.9584,2.975,2.9917,3.0086,3.026,3.0441,3.0629,3.0825,3.1032
2019-01-04,2.5489,2.4917,2.4702,2.4729,2.4912,2.519,2.552,2.5871,2.6224,2.6566,2.689,2.7192,2.7472,2.773,2.7968,2.8189,2.8397,2.8593,2.8782,2.8967,2.915,2.9333,2.9519,2.971,2.9907,3.0111,3.0324,3.0547,3.078,3.1024
2019-01-03,2.4945,2.3848,2.3434,2.3433,2.3666,2.4021,2.4427,2.4842,2.5244,2.562,2.5967,2.6285,2.6577,2.6847,2.7098,2.7336,2.7564,2.7786,2.8004,2.8221,2.8438,2.8658,2.8882,2.9109,2.9342,2.9579,2.9822,3.0069,3.0322,3.0579
2019-01-02,2.568,2.4928,2.4655,2.468,2.488,2.5177,2.5518,2.5871,2.6217,2.6545,2.6852,2.7136,2.7399,2.7643,2.7871,2.8088,2.8295,2.8496,2.8692,2.8888,2.9083,2.9279,2.9479,2.9682,2.9889,3.01,3.0317,3.0538,3.0764,3.0995
2018-12-31,2.5743,2.4859,2.4624,2.4752,2.5065,2.5459,2.5873,2.6275,2.6649,2.6991,2.7301,2.7583,2.784,2.8078,2.8301,2.8514,2.8719,2.892,2.9119,2.9318,2.9517,2.9719,2.9923,3.0129,3.0339,3.0551,3.0767,3.0985,3.1205,3.1428
2018-12-28,2.5777,2.5149,2.5018,2.517,2.5472,2.584,2.6225,2.66,2.6951,2.7273,2.7567,2.7834,2.8078,2.8305,2.8517,2.8719,2.8915,2.9107,2.9297,2.9488,2.968,2.9876,3.0075,3.0278,3.0485,3.0697,3.0913,3.1133,3.1357,3.1585
2018-12-27,2.591,2.5508,2.5481,2.5673,2.598,2.6337,2.6705,2.706,2.7392,2.7696,2.7971,2.8219,2.8445,2.8652,2.8845,2.9028,2.9203,2.9375,2.9545,2.9715,2.9888,3.0065,3.0247,3.0434,3.0626,3.0825,3.103,3.1241,3.1458,3.168
2018-12-26,2.6107,2.6044,2.6148,2.6358,2.6626,2.6924,2.7228,2.7526,2.7809,2.8074,2.8319,2.8544,2.875,2.8941,2.9117,2.9282,2.9439,2.959,2.9738,2.9885,3.0032,3.0181,3.0334,3.0492,3.0656,3.0826,3.1003,3.1187,3.1379,3.1579
2018-12-24,2.5748,2.554,2.5548,2.5697,2.5932,2.6213,2.6514,2.6818,2.7111,2.7388,2.7645,2.7882,2.8098,2.8297,2.8479,2.8648,2.8806,2.8957,2.9103,2.9247,2.939,2.9534,2.9682,2.9835,2.9994,3.016,3.0334,3.0516,3.0707,3.0908
2018-12-21,2.627,2.615,2.6184,2.6322,2.6525,2.6767,2.7028,2.7294,2.7557,2.781,2.8049,2.8275,2.8485,2.8681,2.8864,2.9036,2.9197,2.935,2.9497,2.9639,2.9778,2.9916,3.0052,3.019,3.0329,3.0471,3.0616,3.0765,3.0918,3.1076
2018-12-20,2.6386,2.6391,2.6454,2.6564,2.671,2.6883,2.7076,2.7282,2.7497,2.7716,2.7936,2.8154,2.8368,2.8577,2.8778,2.8971,2.9156,2.9331,2.9498,2.9654,2.9802,2.994,3.0068,3.0188,3.03,3.0403,3.0499,3.0587,3.0668,3.0742
2018-12-19,2.6284,2.6144,2.6134,2.6219,2.6371,2.6566,2.6788,2.7025,2.7267,2.7507,2.7741,2.7966,2.818,2.8383,2.8574,2.8754,2.8924,2.9085,2.9238,2.9385,2.9528,2.9666,2.9803,2.9939,3.0075,3.0212,3.0352,3.0495,3.0642,3.0794
2018-12-18,2.6335,2.6277,2.6345,2.6501,2.6716,2.6969,2.7242,2.7525,2.7807,2.8082,2.8346,2.8598,2.8834,2.9055,2.9262,2.9454,2.9634,2.9803,2.9962,3.0112,3.0256,3.0395,3.053,3.0663,3.0795,3.0927,3.1061,3.1197,3.1336,3.148
2018-12-17,2.6634,2.6657,2.6753,2.6904,2.7097,2.732,2.7563,2.7819,2.8081,2.8346,2.8608,2.8865,2.9115,2.9357,2.9588,2.9808,3.0017,3.0215,3.0401,3.0575,3.0739,3.0891,3.1034,3.1166,3.1289,3.1403,3.1509,3.1607,3.1697,3.1781
2018-12-14,2.6883,2.7004,2.7155,2.7331,2.7526,2.7737,2.796,2.8191,2.8428,2.8668,2.8908,2.9147,2.9383,2.9615,2.984,3.0058,3.0269,3.047,3.0662,3.0844,3.1015,3.1176,3.1326,3.1465,3.1592,3.1708,3.1813,3.1907,3.199,3.2063
2018-12-13,2.6955,2.7358,2.7513,2.7605,2.7714,2.7867,2.8067,2.8303,2.8565,2.8839,2.9116,2.9388,2.9651,2.9901,3.0136,3.0356,3.0559,3.0748,3.0922,3.1082,3.123,3.1367,3.1493,3.1609,3.1717,3.1817,3.1911,3.1997,3.2078,3.2154
2018-12-12,2.712,2.7654,2.772,2.7715,2.7776,2.7926,2.8147,2.8414,2.8702,2.8993,2.9274,2.9539,2.9785,3.0009,3.0214,3.0399,3.0566,3.0717,3.0855,3.0979,3.1093,3.1196,3.1291,3.1378,3.1459,3.1533,3.1602,3.1665,3.1725,3.178
2018-12-11,2.7138,2.7731,2.7698,2.7594,2.7593,2.7716,2.7932,2.8205,2.8502,2.8801,2.909,2.9359,2.9606,2.983,3.0032,3.0215,3.0379,3.0526,3.066,3.0781,3.0891,3.0991,3.1082,3.1167,3.1244,3.1315,3.1382,3.1443,3.1501,3.1554
2018-12-10,2.6837,2.7213,2.7171,2.7095,2.7114,2.7246,2.7471,2.7757,2.8074,2.84,2.8721,2.9027,2.9313,2.9577,2.9818,3.0038,3.0238,3.0419,3.0584,3.0734,3.087,3.0995,3.111,3.1215,3.1312,3.1402,3.1485,3.1563,3.1634,3.1702
2018-12-07,2.6755,2.7142,2.7115,2.7058,2.7099,2.7254,2.75,2.7804,2.8138,2.8478,2.8811,2.9128,2.9422,2.9694,2.9941,3.0167,3.0371,3.0556,3.0725,3.0878,3.1018,3.1145,3.1262,3.137,3.1469,3.156,3.1645,3.1724,3.1797,3.1866
2018-12-06,2.7015,2.7548,2.7485,2.7441,2.7504,2.7662,2.7884,2.8144,2.8421,2.8702,2.8976,2.9239,2.9488,2.972,2.9935,3.0134,3.0318,3.0486,3.0641,3.0784,3.0915,3.1036,3.1148,3.1251,3.1347,3.1435,3.1518,3.1595,3.1666,3.1733
2018-12-04,2.721,2.7921,2.7888,2.7841,2.7892,2.8032,2.8237,2.848,2.8744,2.9013,2.9279,2.9535,2.9778,3.0007,3.0219,3.0417,3.0599,3.0768,3.0923,3.1066,3.1198,3.1319,3.1432,3.1536,3.1632,3.1722,3.1805,3.1883,3.1956,3.2023
2018-12-03,2.717,2.8163,2.8304,2.8296,2.8368,2.8558,2.884,2.9176,2.9532,2.9885,3.0221,3.0533,3.0817,3.1075,3.1306,3.1515,3.1702,3.187,3.2022,3.2159,3.2284,3.2398,3.2502,3.2598,3.2686,3.2767,3.2842,3.2912,3.2977,3.3038
2018-11-30,2.7022,2.7935,2.8218,2.8347,2.8502,2.8729,2.9022,2.9358,2.9714,3.0071,3.0416,3.0742,3.1044,3.1321,3.1574,3.1803,3.2011,3.22,3.2371,3.2526,3.2668,3.2798,3.2917,3.3026,3.3126,3.3219,3.3305,3.3385,3.346,3.3529
2018-11-29,2.6998,2.7994,2.8274,2.8416,2.861,2.889,2.9237,2.9618,3.0008,3.0386,3.0742,3.1071,3.137,3.1639,3.1882,3.2099,3.2295,3.2471,3.263,3.2774,3.2905,3.3024,3.3133,3.3233,3.3325,3.3411,3.3489,3.3563,3.3631,3.3694
2018-11-28,2.7005,2.7887,2.8323,2.8605,2.886,2.9136,2.9441,2.9769,3.0108,3.0447,3.0777,3.1093,3.139,3.1667,3.1922,3.2157,3.2373,3.257,3.2751,3.2916,3.3067,3.3206,3.3334,3.3452,3.3561,3.3661,3.3755,3.3842,3.3923,3.3998
2018-11-27,2.7213,2.8236,2.8469,2.8668,2.8938,2.9265,2.9621,2.9983,3.0334,3.0666,3.0973,3.1255,3.1512,3.1744,3.1954,3.2144,3.2316,3.2472,3.2613,3.2741,3.2858,3.2965,3.3064,3.3154,3.3237,3.3314,3.3386,3.3452,3.3514,3.3572
2018-11-26,2.7169,2.823,2.8505,2.8732,2.9018,2.9354,2.9713,3.0073,3.042,3.0746,3.1047,3.1322,3.1572,3.1798,3.2001,3.2185,3.2351,3.2501,3.2637,3.2761,3.2874,3.2977,3.3071,3.3158,3.3238,3.3312,3.3381,3.3445,3.3504,3.356
2018-11-23,2.6955,2.7944,2.8171,2.8419,2.875,2.9133,2.9532,2.9923,3.0291,3.063,3.0938,3.1215,3.1463,3.1685,3.1884,3.2062,3.2222,3.2365,3.2495,3.2613,3.272,3.2817,3.2906,3.2988,3.3064,3.3133,3.3198,3.3258,3.3314,3.3366
2018-11-21,2.7041,2.8048,2.8325,2.859,2.8922,2.9299,2.9689,3.007,3.043,3.0761,3.1063,3.1334,3.1578,3.1796,3.1991,3.2166,3.2323,3.2465,3.2593,3.2709,3.2814,3.291,3.2998,3.3079,3.3154,3.3223,3.3286,3.3346,3.3401,3.3452
2018-11-20,2.6814,2.79,2.8305,2.8551,2.8816,2.9132,2.9488,2.986,3.0227,3.0576,3.09,3.1196,3.1462,3.1701,3.1915,3.2107,3.2278,3.2433,3.2572,3.2697,3.2811,3.2915,3.3011,3.3098,3.3178,3.3252,3.3321,3.3385,3.3444,3.35
