"Respondent","WorkToolsSelect","LanguageRecommendationSelect","EmployerIndustry","WorkAlgorithmsSelect"
44,"Cloudera,Hadoop/Hive/Pig,Impala,Jupyter notebooks,Python,R,Spark / MLlib,SQL,TensorFlow,TIBCO Spotfire,Unix shell / awk","R","Mix of fields","Decision Trees,Ensemble Methods,Random Forests,Regression/Logistic Regression,Other"
45,"Jupyter notebooks,MATLAB/Octave,Microsoft Excel Data Mining,Python,R","Python","Military/Security","Random Forests,Regression/Logistic Regression"
46,"Amazon Machine Learning,C/C++,NoSQL,R","Python","Technology","Bayesian Techniques,Decision Trees,Random Forests"
47,"Java,Python,Tableau","Python","Financial","Decision Trees,Ensemble Methods,Random Forests"
48,"Hadoop/Hive/Pig,Jupyter notebooks,MATLAB/Octave,Python,R,SQL","Python","Government","Bayesian Techniques"
49,"Amazon Web services,C/C++,Hadoop/Hive/Pig,Java,Jupyter notebooks,NoSQL,Python,R,SQL,TensorFlow","Python","CRM/Marketing","Decision Trees,Neural Networks,Regression/Logistic Regression"
50,"NoSQL,Python,R","Python","Internet-based",""
51,"Jupyter notebooks,Python,R","Python","Insurance","Bayesian Techniques,Decision Trees,Ensemble Methods,Gradient Boosted Machines,Regression/Logistic Regression"
52,"C/C++,Python,R","R","Mix of fields","Decision Trees,Ensemble Methods,Gradient Boosted Machines,Random Forests,Regression/Logistic Regression,SVMs"
53,"Amazon Web services,Jupyter notebooks,Python,R,TensorFlow,Unix shell / awk","R","Academic","Decision Trees,Ensemble Methods,Neural Networks,Random Forests,Regression/Logistic Regression,SVMs"
54,"C/C++,Java,Jupyter notebooks,MATLAB/Octave,NoSQL,Python,R,Spark / MLlib,SQL,Tableau,TensorFlow,Other,Other","Other","Government","CNNs,Decision Trees,Ensemble Methods,Neural Networks,Random Forests,Regression/Logistic Regression,SVMs"
55,"IBM SPSS Statistics,R,SAS Base,SQL","R","Insurance","Bayesian Techniques,Decision Trees,Regression/Logistic Regression"
56,"IBM SPSS Statistics,Jupyter notebooks,Mathematica,MATLAB/Octave,Microsoft Excel Data Mining,Python,R,RapidMiner (free version),Unix shell / awk","Python","Academic","Bayesian Techniques,Decision Trees,Ensemble Methods,Regression/Logistic Regression,SVMs"
57,"IBM SPSS Modeler,Python,R,Tableau","R","Academic","Decision Trees,Regression/Logistic Regression"
58,"Jupyter notebooks,Microsoft Excel Data Mining,Python,R,SAS JMP,Tableau","Python","CRM/Marketing","Other"
59,"Microsoft Excel Data Mining,R","R","Insurance","Decision Trees,Ensemble Methods,Gradient Boosted Machines,Random Forests,Regression/Logistic Regression"
60,"Amazon Web services,Julia,Jupyter notebooks,KNIME (free version),MATLAB/Octave,Microsoft Azure Machine Learning,Microsoft Excel Data Mining,Microsoft R Server (Formerly Revolution Analytics),Microsoft SQL Server Data Mining,Python,QlikView,R,RapidMiner (free version),SQL","Python","Other","Decision Trees,Regression/Logistic Regression"
61,"MATLAB/Octave,R","Stata","Internet-based","Markov Logic Networks"
62,"C/C++,Jupyter notebooks,Perl,Python","Python","Manufacturing","Bayesian Techniques,Decision Trees,Regression/Logistic Regression"
63,"IBM SPSS Statistics,MATLAB/Octave,R","Java","Retail","Bayesian Techniques,Decision Trees"
64,"C/C++,Jupyter notebooks,MATLAB/Octave,NoSQL,Python,TensorFlow,Unix shell / awk","Python","Internet-based","CNNs,Ensemble Methods,GANs,Neural Networks,Random Forests,Regression/Logistic Regression,RNNs"
65,"Amazon Web services,Hadoop/Hive/Pig,IBM SPSS Modeler,IBM SPSS Statistics,Microsoft SQL Server Data Mining,R,SAS Enterprise Miner,SQL,Tableau","","Technology","Decision Trees,Neural Networks"
66,"Python,SQL,Tableau","Python","Academic","Bayesian Techniques,Decision Trees,Regression/Logistic Regression"
67,"C/C++,MATLAB/Octave,Python,R,Unix shell / awk","Python","Academic","Bayesian Techniques,Decision Trees,Evolutionary Approaches,Random Forests,SVMs"
68,"Cloudera,Hadoop/Hive/Pig,Java,Python,R,Spark / MLlib","Python","Academic",""
69,"Google Cloud Compute,Jupyter notebooks,Microsoft Azure Machine Learning,Python,TensorFlow","Python","Technology","Regression/Logistic Regression,Other"
70,"R,SAS Base,SQL","R","Retail","Bayesian Techniques"
71,"Python,R,TensorFlow","Python","Internet-based","Ensemble Methods,Gradient Boosted Machines,Neural Networks,Random Forests,Regression/Logistic Regression,SVMs"
72,"Jupyter notebooks,Python,R,SQL,TensorFlow","Python","Technology","Random Forests,Regression/Logistic Regression"
73,"IBM Cognos,IBM SPSS Modeler,IBM SPSS Statistics,Perl,SQL","R","CRM/Marketing","Bayesian Techniques,Markov Logic Networks"
74,"Amazon Machine Learning,Amazon Web services,C/C++,Google Cloud Compute,Hadoop/Hive/Pig,Jupyter notebooks,NoSQL,Python,TensorFlow","Python","Financial","Other"
75,"SQL","SQL","Government","Decision Trees,Random Forests,Regression/Logistic Regression,SVMs"
76,"Amazon Web services,Jupyter notebooks,Microsoft Excel Data Mining,NoSQL,Python,SQL","Python","Financial","Decision Trees,Gradient Boosted Machines,Random Forests,Regression/Logistic Regression"
77,"Jupyter notebooks,MATLAB/Octave,Python,R,SQL","Python","Telecommunications","Decision Trees"
78,"Amazon Machine Learning,Amazon Web services,Cloudera,Hadoop/Hive/Pig,IBM SPSS Modeler,IBM SPSS Statistics,Jupyter notebooks,Microsoft Azure Machine Learning,Microsoft Excel Data Mining,NoSQL,Python,QlikView,R,SAP BusinessObjects Predictive Analytics,SAS Base,SAS Enterprise Miner,Spark / MLlib,SQL,Tableau,Unix shell / awk","SQL","Technology","Bayesian Techniques,Gradient Boosted Machines,Markov Logic Networks,Regression/Logistic Regression"
79,"NoSQL,Perl,SQL,Unix shell / awk,Other","Other","Financial",""
80,"Amazon Web services,C/C++,IBM Watson / Waton Analytics,Jupyter notebooks,MATLAB/Octave,NoSQL,Python,SQL,TensorFlow,Unix shell / awk","Python","Academic","CNNs,Neural Networks,Regression/Logistic Regression,RNNs"
81,"Cloudera,KNIME (free version),Python,R,Spark / MLlib,Tableau","Python","Non-profit","Other"
82,"Jupyter notebooks,Microsoft Azure Machine Learning,Microsoft Excel Data Mining,Microsoft SQL Server Data Mining,R,SQL","R","Financial","Bayesian Techniques,Decision Trees,Random Forests,Regression/Logistic Regression,SVMs"
83,"Amazon Web services,Google Cloud Compute,Jupyter notebooks,Python,R,Spark / MLlib,SQL,Stan,TensorFlow,Unix shell / awk","Python","Internet-based","Bayesian Techniques,Decision Trees,Gradient Boosted Machines,HMMs,Random Forests,Regression/Logistic Regression,SVMs"
84,"Julia,Other","Julia","Academic","Other"
85,"Amazon Machine Learning,Amazon Web services,SQL","SQL","Other",""
86,"R","R","Government",""
87,"Amazon Web services,C/C++,Jupyter notebooks,MATLAB/Octave,Python,SQL,TensorFlow,Unix shell / awk","Python","Academic","Bayesian Techniques,HMMs,Neural Networks,RNNs"
88,"Jupyter notebooks,MATLAB/Octave,Microsoft Excel Data Mining,Python,R,SQL,TensorFlow","Python","Technology","Bayesian Techniques,Ensemble Methods,Random Forests,Regression/Logistic Regression"
89,"C/C++,Oracle Data Mining/ Oracle R Enterprise,R,SAS Base,SQL","SAS","Financial","Ensemble Methods"
90,"Amazon Web services,Jupyter notebooks,Python,SQL,Unix shell / awk","Python","Insurance","Decision Trees,Random Forests,Regression/Logistic Regression"
91,"Amazon Machine Learning,Amazon Web services,C/C++,Jupyter notebooks,MATLAB/Octave,Microsoft Azure Machine Learning,Microsoft R Server (Formerly Revolution Analytics),Python,R,TensorFlow,Unix shell / awk","R","Academic","Bayesian Techniques,Random Forests,Regression/Logistic Regression"
92,"IBM Watson / Waton Analytics,Mathematica,Microsoft Azure Machine Learning,Python,R,SAP BusinessObjects Predictive Analytics,SAS Base,SAS JMP,SQL,TIBCO Spotfire","R","Other","Neural Networks,Regression/Logistic Regression,SVMs"
93,"C/C++,MATLAB/Octave,Python,SAS Base,SQL,Tableau,TensorFlow","Python","Financial","CNNs,Decision Trees,Ensemble Methods,Gradient Boosted Machines,Neural Networks,Random Forests,Regression/Logistic Regression,SVMs"
94,"Amazon Web services,Cloudera,SAS Base,SAS Enterprise Miner,SAS JMP,SQL,Other,Other","SAS","Technology","Decision Trees,Ensemble Methods,Gradient Boosted Machines,Neural Networks,Random Forests,Regression/Logistic Regression,SVMs"
95,"Microsoft Excel Data Mining,Python,R","Python","Insurance","Decision Trees,Random Forests,Regression/Logistic Regression"
96,"C/C++,Microsoft Excel Data Mining,Microsoft R Server (Formerly Revolution Analytics),Microsoft SQL Server Data Mining,Oracle Data Mining/ Oracle R Enterprise,Python,SQL","Python","Academic","Bayesian Techniques,Decision Trees,Ensemble Methods,Evolutionary Approaches,GANs,Neural Networks,Random Forests,Regression/Logistic Regression,RNNs"
97,"Jupyter notebooks,Python,R","Python","Technology","Decision Trees,Gradient Boosted Machines,HMMs,Neural Networks,Random Forests,Regression/Logistic Regression,RNNs"
98,"Microsoft R Server (Formerly Revolution Analytics),R,SQL","R","Government","Decision Trees,Random Forests,Regression/Logistic Regression"
99,"Amazon Web services,C/C++,Hadoop/Hive/Pig,Java,NoSQL,Python,QlikView,R,Spark / MLlib,SQL,TensorFlow,Unix shell / awk,Other","R","Mix of fields","Decision Trees,Ensemble Methods,Gradient Boosted Machines,Neural Networks,Random Forests,Regression/Logistic Regression,RNNs,SVMs"
100,"Python,R,TensorFlow","Python","Academic","Bayesian Techniques,Regression/Logistic Regression,SVMs"
101,"Amazon Web services,Jupyter notebooks,Python,R,SQL,TensorFlow,Unix shell / awk","Python","Internet-based","Bayesian Techniques,Other"
102,"Cloudera,Hadoop/Hive/Pig,Impala,Python,QlikView,R,SAS Base,Tableau","Python","Telecommunications","Bayesian Techniques,Decision Trees,Ensemble Methods,Gradient Boosted Machines,Neural Networks,Random Forests,Regression/Logistic Regression,SVMs"
103,"Microsoft Excel Data Mining,R,SQL","R","Manufacturing","Regression/Logistic Regression"
104,"KNIME (free version),Python,R,SQL,Tableau","Python","Financial","Decision Trees,Gradient Boosted Machines,Regression/Logistic Regression"
105,"C/C++,IBM Watson / Waton Analytics,Java,Microsoft Azure Machine Learning,NoSQL,Python,R,SQL,TensorFlow,Unix shell / awk","Python","Government","Bayesian Techniques,Neural Networks"
106,"Python,R,RapidMiner (free version)","Python","Financial","Bayesian Techniques"
107,"Python,R","R","Academic","Regression/Logistic Regression"
108,"C/C++,Microsoft SQL Server Data Mining,Python,R,SQL","R","Academic","Bayesian Techniques,Ensemble Methods,Gradient Boosted Machines,HMMs,Neural Networks,Random Forests"
109,"C/C++,MATLAB/Octave,Python,R,SQL,TensorFlow","Python","Technology","Bayesian Techniques,Decision Trees,Neural Networks,Random Forests,Regression/Logistic Regression"
110,"Hadoop/Hive/Pig,NoSQL,R,SAS Base,Spark / MLlib,SQL","R","Other","Decision Trees,Random Forests,Regression/Logistic Regression"
111,"Amazon Web services,Hadoop/Hive/Pig,Python,Unix shell / awk","Python","Internet-based",""
112,"Amazon Web services,Jupyter notebooks,Python,R,TensorFlow,Unix shell / awk","Python","Other","Bayesian Techniques,Decision Trees,Ensemble Methods,Gradient Boosted Machines,Neural Networks,Random Forests,Regression/Logistic Regression,SVMs"
113,"IBM SPSS Statistics,MATLAB/Octave,Python,R,SQL,Tableau","R","Academic","Bayesian Techniques,Decision Trees,Random Forests,Regression/Logistic Regression"
114,"Amazon Web services,Hadoop/Hive/Pig,Jupyter notebooks,Python,R,Spark / MLlib,SQL,TensorFlow,Unix shell / awk","Python","Internet-based","Bayesian Techniques,Decision Trees,Ensemble Methods,Gradient Boosted Machines,Neural Networks,Random Forests,Regression/Logistic Regression,RNNs,SVMs"
115,"Amazon Web services,Microsoft Excel Data Mining,Python,SQL,TensorFlow","Python","Non-profit","Bayesian Techniques,Decision Trees,Random Forests,Regression/Logistic Regression,Other"
116,"KNIME (free version),Unix shell / awk","Python","Financial","Decision Trees"
117,"C/C++,QlikView,R,SAP BusinessObjects Predictive Analytics,SAS Base,SQL,Stan,Tableau","R","Manufacturing","Bayesian Techniques,Regression/Logistic Regression"
118,"IBM Watson / Waton Analytics,Python,Spark / MLlib,SQL","Python","Mix of fields","Decision Trees,Random Forests,Regression/Logistic Regression"
119,"Cloudera,Flume,Hadoop/Hive/Pig,IBM SPSS Modeler,IBM SPSS Statistics,Impala,Python,R,RapidMiner (free version),SAS Base,SAS Enterprise Miner,SAS JMP,Spark / MLlib,SQL","R","Mix of fields","Bayesian Techniques,Decision Trees,Random Forests,Regression/Logistic Regression,SVMs"
120,"C/C++,Jupyter notebooks,MATLAB/Octave,Python,TensorFlow,Unix shell / awk","Python","Mix of fields","CNNs,Neural Networks,RNNs"
121,"Mathematica,Python,SQL","Python","Manufacturing","Bayesian Techniques,Decision Trees,Random Forests"
122,"R","R","Mix of fields","Gradient Boosted Machines,Random Forests"
123,"IBM SPSS Statistics,R","Python","CRM/Marketing","Bayesian Techniques"
124,"R,Tableau","R","Telecommunications","Regression/Logistic Regression,Other"
125,"Google Cloud Compute,Microsoft Excel Data Mining,Python,R,SQL,Tableau","R","Technology","Decision Trees,Neural Networks,Random Forests,Regression/Logistic Regression"
126,"Jupyter notebooks,Python","Python","Pharmaceutical","Other"
127,"Amazon Web services,Jupyter notebooks,Python,R,Spark / MLlib,SQL,Other","Python","Technology","Decision Trees,Ensemble Methods,Random Forests,Regression/Logistic Regression"
128,"R,SQL,Tableau,Unix shell / awk","Python","CRM/Marketing","Regression/Logistic Regression,Other"
129,"Python,TensorFlow","Python","Internet-based",""
130,"Jupyter notebooks,Microsoft Azure Machine Learning,Microsoft Excel Data Mining,Microsoft R Server (Formerly Revolution Analytics),Microsoft SQL Server Data Mining,Python,TensorFlow","Python","Technology","CNNs,GANs,Neural Networks,RNNs,SVMs"
131,"C/C++,Jupyter notebooks,Oracle Data Mining/ Oracle R Enterprise,Python,SQL,TensorFlow","Python","Internet-based","CNNs,Neural Networks,Random Forests"
132,"Angoss,Google Cloud Compute,Jupyter notebooks,Python,R,SAS Enterprise Miner,Spark / MLlib,SQL,Tableau,TensorFlow,Unix shell / awk","Python","Insurance","Ensemble Methods,Gradient Boosted Machines,Neural Networks,RNNs"
133,"IBM SPSS Modeler,IBM SPSS Statistics,Java,Microsoft Excel Data Mining,SQL","","CRM/Marketing",""
134,"Jupyter notebooks,Python,TensorFlow","Python","Academic","Neural Networks"
135,"Microsoft Azure Machine Learning,Microsoft R Server (Formerly Revolution Analytics),Microsoft SQL Server Data Mining,R,SQL","R","Financial","Decision Trees,Gradient Boosted Machines,Random Forests,Regression/Logistic Regression"
136,"Amazon Web services,Jupyter notebooks,Python,R,Spark / MLlib,SQL,TensorFlow","","Telecommunications",""
137,"Amazon Web services,Java,MATLAB/Octave,Python,QlikView,R,SQL,TIBCO Spotfire,Unix shell / awk","Python","Mix of fields","Markov Logic Networks,Regression/Logistic Regression"
138,"Amazon Machine Learning,Amazon Web services,Jupyter notebooks,NoSQL,Python,TensorFlow,Unix shell / awk","Python","Other","Bayesian Techniques,Decision Trees,Neural Networks,Regression/Logistic Regression,RNNs,SVMs"
139,"","Python","Government",""
140,"Minitab","R","Manufacturing","Regression/Logistic Regression"
141,"Amazon Web services,Julia,Jupyter notebooks,Python,R,TensorFlow","Python","Mix of fields","CNNs,Neural Networks,Regression/Logistic Regression,RNNs"
142,"Amazon Machine Learning,Amazon Web services,Python,R,Tableau","Python","Academic","Bayesian Techniques,Regression/Logistic Regression"
143,"R","R","Internet-based","Decision Trees,Random Forests,Regression/Logistic Regression,SVMs"
144,"C/C++,Java,MATLAB/Octave,Python,TensorFlow","Python","Financial","Neural Networks"
145,"Python,SQL","Python","CRM/Marketing","Decision Trees,Ensemble Methods,Gradient Boosted Machines,Random Forests,Regression/Logistic Regression"
146,"Python,SQL","Python","Government","Bayesian Techniques,CNNs,Neural Networks,Regression/Logistic Regression"
147,"NoSQL,R,SQL","SQL","Technology","Bayesian Techniques,Decision Trees,Neural Networks"
148,"Other","Python","Military/Security","CNNs,Ensemble Methods,Neural Networks"
149,"Java,Jupyter notebooks,Microsoft R Server (Formerly Revolution Analytics),Microsoft SQL Server Data Mining,NoSQL,Python,R,SQL,Tableau","SQL","Financial",""
150,"C/C++,Java,Jupyter notebooks,MATLAB/Octave,Microsoft Excel Data Mining,Perl,Python,SQL,TensorFlow,Unix shell / awk","Python","Other","Bayesian Techniques,Decision Trees,Ensemble Methods,Gradient Boosted Machines,HMMs,Neural Networks,Random Forests,Regression/Logistic Regression,RNNs,SVMs"
151,"Amazon Web services,Microsoft Azure Machine Learning,Microsoft Excel Data Mining,NoSQL,Python,R,Spark / MLlib,SQL","R","Insurance","Decision Trees,GANs,Neural Networks,Regression/Logistic Regression,SVMs"
152,"Jupyter notebooks,Microsoft Excel Data Mining,NoSQL,Python,SQL,Tableau","SQL","Mix of fields","Bayesian Techniques"
153,"C/C++,Flume,Google Cloud Compute,Julia,Jupyter notebooks,Python,R,SQL,TensorFlow","Python","Technology",""
154,"IBM Watson / Waton Analytics,Orange,Python,R,RapidMiner (free version),Tableau","R","Academic","Ensemble Methods,Evolutionary Approaches,Neural Networks,Random Forests,Regression/Logistic Regression,SVMs"
155,"Jupyter notebooks,TensorFlow,Unix shell / awk","Python","Academic","HMMs,Markov Logic Networks,Neural Networks,RNNs"
156,"Amazon Web services,C/C++,Java,Jupyter notebooks,Mathematica,MATLAB/Octave,NoSQL,Python,R,SQL","R","Mix of fields",""
157,"Amazon Web services,Hadoop/Hive/Pig,Python,SQL","SQL","Internet-based","Neural Networks"
158,"Microsoft Excel Data Mining,SQL","SQL","Financial","Regression/Logistic Regression"
159,"C/C++,Jupyter notebooks,NoSQL,Python,SQL","Python","Other","Decision Trees,Ensemble Methods,Random Forests"
160,"C/C++,Jupyter notebooks,Python,SQL,TensorFlow","Python","Academic","CNNs,Neural Networks,Regression/Logistic Regression"
161,"C/C++,IBM Cognos,Java,Microsoft Excel Data Mining,NoSQL,Python,R,SQL,TensorFlow,TIBCO Spotfire,Unix shell / awk","Other","Telecommunications","Markov Logic Networks"
162,"Hadoop/Hive/Pig,IBM SPSS Modeler,IBM SPSS Statistics,Python,R,TensorFlow","R","Mix of fields","Bayesian Techniques,CNNs,Decision Trees,Neural Networks,Random Forests,Regression/Logistic Regression"
163,"C/C++,Java,MATLAB/Octave,Python","Python","Academic","CNNs,Decision Trees,HMMs,Neural Networks,RNNs,SVMs"
164,"C/C++,Jupyter notebooks,Python,Unix shell / awk","Python","Academic","Other"
165,"Hadoop/Hive/Pig,IBM Cognos,IBM SPSS Modeler,IBM SPSS Statistics,MATLAB/Octave,NoSQL,Perl,Python,Spark / MLlib,Unix shell / awk","Python","Financial","Ensemble Methods"
166,"Hadoop/Hive/Pig,Jupyter notebooks,Python,R,Spark / MLlib,SQL,Tableau","Python","Mix of fields","Bayesian Techniques,Decision Trees,Ensemble Methods,Gradient Boosted Machines,Neural Networks,Random Forests,Regression/Logistic Regression,SVMs"
167,"Amazon Web services,Cloudera,Google Cloud Compute,Hadoop/Hive/Pig,Impala,Jupyter notebooks,Python,R,SAS Base,SQL,Tableau,TensorFlow,Unix shell / awk","Python","Telecommunications","Neural Networks"
168,"Hadoop/Hive/Pig,Jupyter notebooks,Python,SQL,Tableau","Python","Financial","Bayesian Techniques,Decision Trees,Regression/Logistic Regression,SVMs"
169,"R","R","Academic","Neural Networks"
170,"Amazon Web services","Python","Pharmaceutical",""
171,"C/C++,Java,MATLAB/Octave,Python,SQL","R","",""
172,"Microsoft Azure Machine Learning,Microsoft Excel Data Mining,SQL","R","Insurance","Decision Trees"
173,"C/C++,Microsoft Azure Machine Learning,R,SQL,Tableau","R","Government","Decision Trees,Random Forests"
174,"MATLAB/Octave,Python,Other","Python","Military/Security","Regression/Logistic Regression"
175,"Amazon Web services,Java,Jupyter notebooks,Python,SQL,TensorFlow,Unix shell / awk","Python","Financial","Decision Trees"
176,"Amazon Web services,R","Stata","Academic","Decision Trees,Random Forests,Regression/Logistic Regression"
177,"C/C++,Jupyter notebooks,MATLAB/Octave,Python,Other","Python","Other","CNNs,Ensemble Methods,SVMs"
178,"C/C++,MATLAB/Octave,R","Python","Hospitality/Entertainment/Sports","Neural Networks"
179,"Amazon Web services,Python,R","","Internet-based","Decision Trees,Ensemble Methods,Random Forests"
180,"C/C++,Java,Jupyter notebooks,Mathematica,Perl,Python,R,SQL,Tableau","R","Government","Other"
181,"Other","Other","Academic","CNNs,Neural Networks"
182,"Amazon Web services,C/C++,Jupyter notebooks,Python,R,SQL,Tableau,TensorFlow,Unix shell / awk","Python","Other","Neural Networks,Regression/Logistic Regression"
183,"C/C++,MATLAB/Octave,Python","Python","Mix of fields","Bayesian Techniques,CNNs,Neural Networks"
184,"Hadoop/Hive/Pig,Jupyter notebooks,Microsoft SQL Server Data Mining,SAS Base,SAS Enterprise Miner,SQL,Tableau","R","Internet-based","Regression/Logistic Regression"
185,"R","SAS","Non-profit","Other"
