year,chord,root_integer,root_roman,quality,title_compressed,artist_compressed,title,artist
1984,F:maj,5,IV,maj,aninnocentman,billyjoel,An Innocent Man,Billy Joel
1984,G:maj,7,V,maj,aninnocentman,billyjoel,An Innocent Man,Billy Joel
1984,C:maj,0,I,maj,aninnocentman,billyjoel,An Innocent Man,Billy Joel
1984,D:min,2,II,min,aninnocentman,billyjoel,An Innocent Man,Billy Joel
1984,F:maj,5,IV,maj,aninnocentman,billyjoel,An Innocent Man,Billy Joel
1984,G:maj,7,V,maj,aninnocentman,billyjoel,An Innocent Man,Billy Joel
1984,C:maj,0,I,maj,aninnocentman,billyjoel,An Innocent Man,Billy Joel
1984,D:min,2,II,min,aninnocentman,billyjoel,An Innocent Man,Billy Joel
1984,F:maj,5,IV,maj,aninnocentman,billyjoel,An Innocent Man,Billy Joel
1984,G:maj,7,V,maj,aninnocentman,billyjoel,An Innocent Man,Billy Joel
1980,E:min,2,II,min,lookin'forlove,johnnylee,Lookin' For Love,Johnny Lee
1980,F#:min,4,III,min,lookin'forlove,johnnylee,Lookin' For Love,Johnny Lee
1980,G:maj,5,IV,maj,lookin'forlove,johnnylee,Lookin' For Love,Johnny Lee
1980,A:maj,7,V,maj,lookin'forlove,johnnylee,Lookin' For Love,Johnny Lee
1980,E:min,2,II,min,lookin'forlove,johnnylee,Lookin' For Love,Johnny Lee
1980,F#:min,4,III,min,lookin'forlove,johnnylee,Lookin' For Love,Johnny Lee
1980,G:maj,5,IV,maj,lookin'forlove,johnnylee,Lookin' For Love,Johnny Lee
1980,A:maj,7,V,maj,lookin'forlove,johnnylee,Lookin' For Love,Johnny Lee
1980,G:maj,5,IV,maj,lookin'forlove,johnnylee,Lookin' For Love,Johnny Lee
1980,D:maj,0,I,maj,lookin'forlove,johnnylee,Lookin' For Love,Johnny Lee
1980,G:maj,5,IV,maj,lookin'forlove,johnnylee,Lookin' For Love,Johnny Lee
1980,D:maj,0,I,maj,lookin'forlove,johnnylee,Lookin' For Love,Johnny Lee
1980,A:maj,7,V,maj,lookin'forlove,johnnylee,Lookin' For Love,Johnny Lee
1980,G:maj,5,IV,maj,lookin'forlove,johnnylee,Lookin' For Love,Johnny Lee
1980,D:maj,0,I,maj,lookin'forlove,johnnylee,Lookin' For Love,Johnny Lee
1980,G:maj,5,IV,maj,lookin'forlove,johnnylee,Lookin' For Love,Johnny Lee
1980,D:maj,0,I,maj,lookin'forlove,johnnylee,Lookin' For Love,Johnny Lee
1980,A:maj,7,V,maj,lookin'forlove,johnnylee,Lookin' For Love,Johnny Lee
1980,A:maj/b7,7,V,maj/b7,lookin'forlove,johnnylee,Lookin' For Love,Johnny Lee
1980,A:maj/13,7,V,maj/13,lookin'forlove,johnnylee,Lookin' For Love,Johnny Lee
1980,A:maj/5,7,V,maj/5,lookin'forlove,johnnylee,Lookin' For Love,Johnny Lee
1980,D:maj,0,I,maj,lookin'forlove,johnnylee,Lookin' For Love,Johnny Lee
1980,F#:min,4,III,min,lookin'forlove,johnnylee,Lookin' For Love,Johnny Lee
1980,G:maj,5,IV,maj,lookin'forlove,johnnylee,Lookin' For Love,Johnny Lee
1980,E:min,2,II,min,lookin'forlove,johnnylee,Lookin' For Love,Johnny Lee
1980,F#:maj,4,III,maj,lookin'forlove,johnnylee,Lookin' For Love,Johnny Lee
1980,G:maj,5,IV,maj,lookin'forlove,johnnylee,Lookin' For Love,Johnny Lee
1976,Db:min(9),10,bVII,min(9),lastchild,aerosmith,Last Child,Aerosmith
1976,Gb:maj6(b7),3,bIII,maj6(b7),lastchild,aerosmith,Last Child,Aerosmith
1976,Eb:7,0,I,7,lastchild,aerosmith,Last Child,Aerosmith
1976,Eb:7(#9),0,I,7(#9),lastchild,aerosmith,Last Child,Aerosmith
1976,Ab:7,5,IV,7,lastchild,aerosmith,Last Child,Aerosmith
1976,Eb:7(#9),0,I,7(#9),lastchild,aerosmith,Last Child,Aerosmith
1976,Db:maj,10,bVII,maj,lastchild,aerosmith,Last Child,Aerosmith
1976,Ab:maj,5,IV,maj,lastchild,aerosmith,Last Child,Aerosmith
1984,A:min,0,I,min,shebop,cyndilauper,She Bop,Cyndi Lauper
1984,F:maj,8,bVI,maj,shebop,cyndilauper,She Bop,Cyndi Lauper
1984,G:maj,10,bVII,maj,shebop,cyndilauper,She Bop,Cyndi Lauper
1984,A:min,0,I,min,shebop,cyndilauper,She Bop,Cyndi Lauper
1984,F:maj,8,bVI,maj,shebop,cyndilauper,She Bop,Cyndi Lauper
1984,G:maj,10,bVII,maj,shebop,cyndilauper,She Bop,Cyndi Lauper
1984,A:min,0,I,min,shebop,cyndilauper,She Bop,Cyndi Lauper
1984,D:min,5,IV,min,shebop,cyndilauper,She Bop,Cyndi Lauper
1976,Bb:min,9,VI,min,here'ssomelove,tanyatucker,Here's Some Love,Tanya Tucker
1976,Eb:min,2,II,min,here'ssomelove,tanyatucker,Here's Some Love,Tanya Tucker
1976,Gb:maj6,5,IV,maj6,here'ssomelove,tanyatucker,Here's Some Love,Tanya Tucker
1976,Ab:maj,7,V,maj,here'ssomelove,tanyatucker,Here's Some Love,Tanya Tucker
1976,Db:maj,0,I,maj,here'ssomelove,tanyatucker,Here's Some Love,Tanya Tucker
1976,Gb:maj/5,5,IV,maj/5,here'ssomelove,tanyatucker,Here's Some Love,Tanya Tucker
1976,Ab:maj,7,V,maj,here'ssomelove,tanyatucker,Here's Some Love,Tanya Tucker
1976,Db:maj/5,0,I,maj/5,here'ssomelove,tanyatucker,Here's Some Love,Tanya Tucker
1976,Db:maj,0,I,maj,here'ssomelove,tanyatucker,Here's Some Love,Tanya Tucker
1976,Gb:maj/5,5,IV,maj/5,here'ssomelove,tanyatucker,Here's Some Love,Tanya Tucker
1976,Ab:maj,7,V,maj,here'ssomelove,tanyatucker,Here's Some Love,Tanya Tucker
1976,Gb:maj/9,5,IV,maj/9,here'ssomelove,tanyatucker,Here's Some Love,Tanya Tucker
1976,Ab:maj,7,V,maj,here'ssomelove,tanyatucker,Here's Some Love,Tanya Tucker
1976,Db:maj,0,I,maj,here'ssomelove,tanyatucker,Here's Some Love,Tanya Tucker
1976,Gb:maj/5,5,IV,maj/5,here'ssomelove,tanyatucker,Here's Some Love,Tanya Tucker
1976,Ab:maj,7,V,maj,here'ssomelove,tanyatucker,Here's Some Love,Tanya Tucker
1976,Db:maj/5,0,I,maj/5,here'ssomelove,tanyatucker,Here's Some Love,Tanya Tucker
1976,Bb:min,9,VI,min,here'ssomelove,tanyatucker,Here's Some Love,Tanya Tucker
1976,Bb:min/b7,9,VI,min/b7,here'ssomelove,tanyatucker,Here's Some Love,Tanya Tucker
1976,Gb:maj,5,IV,maj,here'ssomelove,tanyatucker,Here's Some Love,Tanya Tucker
1976,Ab:maj,7,V,maj,here'ssomelove,tanyatucker,Here's Some Love,Tanya Tucker
1980,G:maj,0,I,maj,justcan'twait,thej.geilsband,Just Can't Wait,The J. Geils Band
1980,D:maj,7,V,maj,justcan'twait,thej.geilsband,Just Can't Wait,The J. Geils Band
1980,G:maj/5,0,I,maj/5,justcan'twait,thej.geilsband,Just Can't Wait,The J. Geils Band
1980,D:maj,7,V,maj,justcan'twait,thej.geilsband,Just Can't Wait,The J. Geils Band
1980,C:maj,5,IV,maj,justcan'twait,thej.geilsband,Just Can't Wait,The J. Geils Band
1980,D:maj,7,V,maj,justcan'twait,thej.geilsband,Just Can't Wait,The J. Geils Band
1980,G:maj/5,0,I,maj/5,justcan'twait,thej.geilsband,Just Can't Wait,The J. Geils Band
1980,D:maj,7,V,maj,justcan'twait,thej.geilsband,Just Can't Wait,The J. Geils Band
1980,G:maj,0,I,maj,justcan'twait,thej.geilsband,Just Can't Wait,The J. Geils Band
1980,D:maj,7,V,maj,justcan'twait,thej.geilsband,Just Can't Wait,The J. Geils Band
1980,G:maj/5,0,I,maj/5,justcan'twait,thej.geilsband,Just Can't Wait,The J. Geils Band
1980,D:maj,7,V,maj,justcan'twait,thej.geilsband,Just Can't Wait,The J. Geils Band
1980,C:maj,5,IV,maj,justcan'twait,thej.geilsband,Just Can't Wait,The J. Geils Band
1980,D:maj,7,V,maj,justcan'twait,thej.geilsband,Just Can't Wait,The J. Geils Band
1980,G:maj/5,0,I,maj/5,justcan'twait,thej.geilsband,Just Can't Wait,The J. Geils Band
1980,D:maj,7,V,maj,justcan'twait,thej.geilsband,Just Can't Wait,The J. Geils Band
1980,G:maj,0,I,maj,justcan'twait,thej.geilsband,Just Can't Wait,The J. Geils Band
1980,D:maj,7,V,maj,justcan'twait,thej.geilsband,Just Can't Wait,The J. Geils Band
1980,G:maj/5,0,I,maj/5,justcan'twait,thej.geilsband,Just Can't Wait,The J. Geils Band
1980,D:maj,7,V,maj,justcan'twait,thej.geilsband,Just Can't Wait,The J. Geils Band
1980,C:maj,5,IV,maj,justcan'twait,thej.geilsband,Just Can't Wait,The J. Geils Band
1980,D:maj,7,V,maj,justcan'twait,thej.geilsband,Just Can't Wait,The J. Geils Band
1980,G:maj/5,0,I,maj/5,justcan'twait,thej.geilsband,Just Can't Wait,The J. Geils Band
1980,D:maj,7,V,maj,justcan'twait,thej.geilsband,Just Can't Wait,The J. Geils Band
1980,G:maj,0,I,maj,justcan'twait,thej.geilsband,Just Can't Wait,The J. Geils Band
1980,D:maj,7,V,maj,justcan'twait,thej.geilsband,Just Can't Wait,The J. Geils Band
1980,G:maj/5,0,I,maj/5,justcan'twait,thej.geilsband,Just Can't Wait,The J. Geils Band
1980,D:maj,7,V,maj,justcan'twait,thej.geilsband,Just Can't Wait,The J. Geils Band
1980,C:maj,5,IV,maj,justcan'twait,thej.geilsband,Just Can't Wait,The J. Geils Band
1980,D:maj,7,V,maj,justcan'twait,thej.geilsband,Just Can't Wait,The J. Geils Band
1980,G:maj/5,0,I,maj/5,justcan'twait,thej.geilsband,Just Can't Wait,The J. Geils Band
1980,D:maj,7,V,maj,justcan'twait,thej.geilsband,Just Can't Wait,The J. Geils Band
1980,G:maj,0,I,maj,justcan'twait,thej.geilsband,Just Can't Wait,The J. Geils Band
1980,D:maj,7,V,maj,justcan'twait,thej.geilsband,Just Can't Wait,The J. Geils Band
1980,C:maj,5,IV,maj,justcan'twait,thej.geilsband,Just Can't Wait,The J. Geils Band
1980,E:min,9,VI,min,justcan'twait,thej.geilsband,Just Can't Wait,The J. Geils Band
1980,G:maj,0,I,maj,justcan'twait,thej.geilsband,Just Can't Wait,The J. Geils Band
1980,D:maj,7,V,maj,justcan'twait,thej.geilsband,Just Can't Wait,The J. Geils Band
1980,C:maj,5,IV,maj,justcan'twait,thej.geilsband,Just Can't Wait,The J. Geils Band
1971,Z,NonHarmonic,NonHarmonic,NonHarmonic,nevermylove,the5thdimension,Never My Love,The 5th Dimension
1971,D:maj,7,V,maj,nevermylove,the5thdimension,Never My Love,The 5th Dimension
1971,G:maj,0,I,maj,nevermylove,the5thdimension,Never My Love,The 5th Dimension
1971,D:maj/3,7,V,maj/3,nevermylove,the5thdimension,Never My Love,The 5th Dimension
1971,F:maj,10,bVII,maj,nevermylove,the5thdimension,Never My Love,The 5th Dimension
1971,C:maj,5,IV,maj,nevermylove,the5thdimension,Never My Love,The 5th Dimension
1971,G:maj,0,I,maj,nevermylove,the5thdimension,Never My Love,The 5th Dimension
1971,E:min,9,VI,min,nevermylove,the5thdimension,Never My Love,The 5th Dimension
1971,G:maj7,0,I,maj7,nevermylove,the5thdimension,Never My Love,The 5th Dimension
1971,C:maj7,5,IV,maj7,nevermylove,the5thdimension,Never My Love,The 5th Dimension
1971,G:maj,0,I,maj,nevermylove,the5thdimension,Never My Love,The 5th Dimension
1971,D:maj/3,7,V,maj/3,nevermylove,the5thdimension,Never My Love,The 5th Dimension
1971,F:maj,10,bVII,maj,nevermylove,the5thdimension,Never My Love,The 5th Dimension
1971,C:maj,5,IV,maj,nevermylove,the5thdimension,Never My Love,The 5th Dimension
1971,G:maj,0,I,maj,nevermylove,the5thdimension,Never My Love,The 5th Dimension
1971,E:min,9,VI,min,nevermylove,the5thdimension,Never My Love,The 5th Dimension
1971,G:maj,0,I,maj,nevermylove,the5thdimension,Never My Love,The 5th Dimension
1971,C:maj,5,IV,maj,nevermylove,the5thdimension,Never My Love,The 5th Dimension
1971,G:maj,0,I,maj,nevermylove,the5thdimension,Never My Love,The 5th Dimension
1971,"B:sus4(b7,9)",4,III,"sus4(b7,9)",nevermylove,the5thdimension,Never My Love,The 5th Dimension
1971,B:7,4,III,7,nevermylove,the5thdimension,Never My Love,The 5th Dimension
1971,E:min7,9,VI,min7,nevermylove,the5thdimension,Never My Love,The 5th Dimension
1985,E:maj,0,I,maj,andshewas,talkingheads,And She Was,Talking Heads
1985,A:maj,5,IV,maj,andshewas,talkingheads,And She Was,Talking Heads
1985,E:maj,0,I,maj,andshewas,talkingheads,And She Was,Talking Heads
1985,A:maj,5,IV,maj,andshewas,talkingheads,And She Was,Talking Heads
1985,E:maj,0,I,maj,andshewas,talkingheads,And She Was,Talking Heads
1985,A:maj,5,IV,maj,andshewas,talkingheads,And She Was,Talking Heads
1985,E:maj,0,I,maj,andshewas,talkingheads,And She Was,Talking Heads
1985,A:maj,5,IV,maj,andshewas,talkingheads,And She Was,Talking Heads
1985,E:maj,0,I,maj,andshewas,talkingheads,And She Was,Talking Heads
1985,A:maj,5,IV,maj,andshewas,talkingheads,And She Was,Talking Heads
1985,E:maj,0,I,maj,andshewas,talkingheads,And She Was,Talking Heads
1985,A:maj,5,IV,maj,andshewas,talkingheads,And She Was,Talking Heads
1985,E:maj,0,I,maj,andshewas,talkingheads,And She Was,Talking Heads
1985,Bb:maj,6,bV,maj,andshewas,talkingheads,And She Was,Talking Heads
1985,F:maj,1,bII,maj,andshewas,talkingheads,And She Was,Talking Heads
1985,C:maj,8,bVI,maj,andshewas,talkingheads,And She Was,Talking Heads
1985,F:maj,1,bII,maj,andshewas,talkingheads,And She Was,Talking Heads
1985,Bb:maj,6,bV,maj,andshewas,talkingheads,And She Was,Talking Heads
1985,C:maj,8,bVI,maj,andshewas,talkingheads,And She Was,Talking Heads
1985,F:maj,1,bII,maj,andshewas,talkingheads,And She Was,Talking Heads
1985,Bb:maj,6,bV,maj,andshewas,talkingheads,And She Was,Talking Heads
1985,F:maj,1,bII,maj,andshewas,talkingheads,And She Was,Talking Heads
1985,C:maj,8,bVI,maj,andshewas,talkingheads,And She Was,Talking Heads
1985,F:maj,1,bII,maj,andshewas,talkingheads,And She Was,Talking Heads
1985,Bb:maj,6,bV,maj,andshewas,talkingheads,And She Was,Talking Heads
1985,G:maj,3,bIII,maj,andshewas,talkingheads,And She Was,Talking Heads
1985,C:maj,8,bVI,maj,andshewas,talkingheads,And She Was,Talking Heads
1985,E:maj,0,I,maj,andshewas,talkingheads,And She Was,Talking Heads
1985,A:maj,5,IV,maj,andshewas,talkingheads,And She Was,Talking Heads
1985,D:maj,10,bVII,maj,andshewas,talkingheads,And She Was,Talking Heads
1985,A:maj,5,IV,maj,andshewas,talkingheads,And She Was,Talking Heads
1985,E:maj,0,I,maj,andshewas,talkingheads,And She Was,Talking Heads
1971,A:min,0,I,min,chicago,grahamnash,Chicago,Graham Nash
1971,D:min/5,5,IV,min/5,chicago,grahamnash,Chicago,Graham Nash
1971,A:min,0,I,min,chicago,grahamnash,Chicago,Graham Nash
1971,D:min/5,5,IV,min/5,chicago,grahamnash,Chicago,Graham Nash
1971,A:min,0,I,min,chicago,grahamnash,Chicago,Graham Nash
1971,D:min/5,5,IV,min/5,chicago,grahamnash,Chicago,Graham Nash
1971,A:min,0,I,min,chicago,grahamnash,Chicago,Graham Nash
1971,D:min/5,5,IV,min/5,chicago,grahamnash,Chicago,Graham Nash
1971,A:min,0,I,min,chicago,grahamnash,Chicago,Graham Nash
1971,D:min/5,5,IV,min/5,chicago,grahamnash,Chicago,Graham Nash
1971,A:min,0,I,min,chicago,grahamnash,Chicago,Graham Nash
1971,D:min/5,5,IV,min/5,chicago,grahamnash,Chicago,Graham Nash
1971,A:min,0,I,min,chicago,grahamnash,Chicago,Graham Nash
1971,D:min/5,5,IV,min/5,chicago,grahamnash,Chicago,Graham Nash
1971,A:min,0,I,min,chicago,grahamnash,Chicago,Graham Nash
1971,D:min/5,5,IV,min/5,chicago,grahamnash,Chicago,Graham Nash
1971,A:min,0,I,min,chicago,grahamnash,Chicago,Graham Nash
1971,D:min/5,5,IV,min/5,chicago,grahamnash,Chicago,Graham Nash
1971,A:min,0,I,min,chicago,grahamnash,Chicago,Graham Nash
1971,D:min/5,5,IV,min/5,chicago,grahamnash,Chicago,Graham Nash
1971,A:min,0,I,min,chicago,grahamnash,Chicago,Graham Nash
1971,D:min/5,5,IV,min/5,chicago,grahamnash,Chicago,Graham Nash
1971,A:min,0,I,min,chicago,grahamnash,Chicago,Graham Nash
1971,D:min/5,5,IV,min/5,chicago,grahamnash,Chicago,Graham Nash
1971,G:maj,10,bVII,maj,chicago,grahamnash,Chicago,Graham Nash
1971,C:maj/5,3,bIII,maj/5,chicago,grahamnash,Chicago,Graham Nash
1971,G:maj,10,bVII,maj,chicago,grahamnash,Chicago,Graham Nash
1971,C:maj/5,3,bIII,maj/5,chicago,grahamnash,Chicago,Graham Nash
1971,A:min,0,I,min,chicago,grahamnash,Chicago,Graham Nash
1971,D:min/5,5,IV,min/5,chicago,grahamnash,Chicago,Graham Nash
1971,A:min,0,I,min,chicago,grahamnash,Chicago,Graham Nash
1971,D:min/5,5,IV,min/5,chicago,grahamnash,Chicago,Graham Nash
1971,A:min,0,I,min,chicago,grahamnash,Chicago,Graham Nash
1971,D:min/5,5,IV,min/5,chicago,grahamnash,Chicago,Graham Nash
1971,A:min,0,I,min,chicago,grahamnash,Chicago,Graham Nash
1971,D:min/5,5,IV,min/5,chicago,grahamnash,Chicago,Graham Nash
1971,A:min,0,I,min,chicago,grahamnash,Chicago,Graham Nash
1979,E:7(#9),0,I,7(#9),rock'n'rollfantasy,badcompany,Rock 'N' Roll Fantasy,Bad Company
1979,C:maj,8,bVI,maj,rock'n'rollfantasy,badcompany,Rock 'N' Roll Fantasy,Bad Company
1979,D:maj,10,bVII,maj,rock'n'rollfantasy,badcompany,Rock 'N' Roll Fantasy,Bad Company
1979,E:7(#9),0,I,7(#9),rock'n'rollfantasy,badcompany,Rock 'N' Roll Fantasy,Bad Company
1979,C:maj,8,bVI,maj,rock'n'rollfantasy,badcompany,Rock 'N' Roll Fantasy,Bad Company
1979,D:maj,10,bVII,maj,rock'n'rollfantasy,badcompany,Rock 'N' Roll Fantasy,Bad Company
1979,E:7(#9),0,I,7(#9),rock'n'rollfantasy,badcompany,Rock 'N' Roll Fantasy,Bad Company
1979,C:maj,8,bVI,maj,rock'n'rollfantasy,badcompany,Rock 'N' Roll Fantasy,Bad Company
1979,D:maj,10,bVII,maj,rock'n'rollfantasy,badcompany,Rock 'N' Roll Fantasy,Bad Company
1979,E:7(#9),0,I,7(#9),rock'n'rollfantasy,badcompany,Rock 'N' Roll Fantasy,Bad Company
1979,C:maj,8,bVI,maj,rock'n'rollfantasy,badcompany,Rock 'N' Roll Fantasy,Bad Company
1979,D:maj,10,bVII,maj,rock'n'rollfantasy,badcompany,Rock 'N' Roll Fantasy,Bad Company
1979,E:7(#9),0,I,7(#9),rock'n'rollfantasy,badcompany,Rock 'N' Roll Fantasy,Bad Company
1979,C:maj,8,bVI,maj,rock'n'rollfantasy,badcompany,Rock 'N' Roll Fantasy,Bad Company
1979,D:maj,10,bVII,maj,rock'n'rollfantasy,badcompany,Rock 'N' Roll Fantasy,Bad Company
1979,E:7(#9),0,I,7(#9),rock'n'rollfantasy,badcompany,Rock 'N' Roll Fantasy,Bad Company
1979,C:maj,8,bVI,maj,rock'n'rollfantasy,badcompany,Rock 'N' Roll Fantasy,Bad Company
1979,D:maj,10,bVII,maj,rock'n'rollfantasy,badcompany,Rock 'N' Roll Fantasy,Bad Company
1979,E:7(#9),0,I,7(#9),rock'n'rollfantasy,badcompany,Rock 'N' Roll Fantasy,Bad Company
1979,C:maj,8,bVI,maj,rock'n'rollfantasy,badcompany,Rock 'N' Roll Fantasy,Bad Company
1973,F:maj,0,I,maj,thejoker,stevemillerband,The Joker,Steve Miller Band
1973,Bb:maj,5,IV,maj,thejoker,stevemillerband,The Joker,Steve Miller Band
1973,C:maj,7,V,maj,thejoker,stevemillerband,The Joker,Steve Miller Band
1973,Bb:maj,5,IV,maj,thejoker,stevemillerband,The Joker,Steve Miller Band
1973,F:maj,0,I,maj,thejoker,stevemillerband,The Joker,Steve Miller Band
1973,Bb:maj,5,IV,maj,thejoker,stevemillerband,The Joker,Steve Miller Band
1973,C:maj,7,V,maj,thejoker,stevemillerband,The Joker,Steve Miller Band
1973,Bb:maj,5,IV,maj,thejoker,stevemillerband,The Joker,Steve Miller Band
1973,F:maj,0,I,maj,thejoker,stevemillerband,The Joker,Steve Miller Band
1973,Bb:maj,5,IV,maj,thejoker,stevemillerband,The Joker,Steve Miller Band
1973,C:maj,7,V,maj,thejoker,stevemillerband,The Joker,Steve Miller Band
1973,Bb:maj,5,IV,maj,thejoker,stevemillerband,The Joker,Steve Miller Band
1973,F:maj,0,I,maj,thejoker,stevemillerband,The Joker,Steve Miller Band
1973,Bb:maj,5,IV,maj,thejoker,stevemillerband,The Joker,Steve Miller Band
1973,C:maj,7,V,maj,thejoker,stevemillerband,The Joker,Steve Miller Band
1973,Bb:maj,5,IV,maj,thejoker,stevemillerband,The Joker,Steve Miller Band
1973,F:maj,0,I,maj,thejoker,stevemillerband,The Joker,Steve Miller Band
1973,Bb:maj,5,IV,maj,thejoker,stevemillerband,The Joker,Steve Miller Band
1973,C:maj,7,V,maj,thejoker,stevemillerband,The Joker,Steve Miller Band
1973,Bb:maj,5,IV,maj,thejoker,stevemillerband,The Joker,Steve Miller Band
1973,F:maj,0,I,maj,thejoker,stevemillerband,The Joker,Steve Miller Band
1973,Bb:maj,5,IV,maj,thejoker,stevemillerband,The Joker,Steve Miller Band
1973,C:maj,7,V,maj,thejoker,stevemillerband,The Joker,Steve Miller Band
1973,Bb:maj,5,IV,maj,thejoker,stevemillerband,The Joker,Steve Miller Band
1973,F:maj,0,I,maj,thejoker,stevemillerband,The Joker,Steve Miller Band
1973,Bb:maj,5,IV,maj,thejoker,stevemillerband,The Joker,Steve Miller Band
1973,C:maj,7,V,maj,thejoker,stevemillerband,The Joker,Steve Miller Band
1973,Bb:maj,5,IV,maj,thejoker,stevemillerband,The Joker,Steve Miller Band
1973,F:maj,0,I,maj,thejoker,stevemillerband,The Joker,Steve Miller Band
1973,Bb:maj,5,IV,maj,thejoker,stevemillerband,The Joker,Steve Miller Band
1973,C:maj,7,V,maj,thejoker,stevemillerband,The Joker,Steve Miller Band
1973,Bb:maj,5,IV,maj,thejoker,stevemillerband,The Joker,Steve Miller Band
1973,F:maj,0,I,maj,thejoker,stevemillerband,The Joker,Steve Miller Band
1973,Bb:maj,5,IV,maj,thejoker,stevemillerband,The Joker,Steve Miller Band
1973,F:maj,0,I,maj,thejoker,stevemillerband,The Joker,Steve Miller Band
1973,Bb:maj,5,IV,maj,thejoker,stevemillerband,The Joker,Steve Miller Band
1973,F:maj,0,I,maj,thejoker,stevemillerband,The Joker,Steve Miller Band
1973,Bb:maj,5,IV,maj,thejoker,stevemillerband,The Joker,Steve Miller Band
1973,C:maj,7,V,maj,thejoker,stevemillerband,The Joker,Steve Miller Band
1973,Bb:maj,5,IV,maj,thejoker,stevemillerband,The Joker,Steve Miller Band
1973,F:maj,0,I,maj,thejoker,stevemillerband,The Joker,Steve Miller Band
1973,Bb:maj,5,IV,maj,thejoker,stevemillerband,The Joker,Steve Miller Band
1973,F:maj,0,I,maj,thejoker,stevemillerband,The Joker,Steve Miller Band
1973,Bb:maj,5,IV,maj,thejoker,stevemillerband,The Joker,Steve Miller Band
1978,C:maj/5,3,bIII,maj/5,crazyonyou,heart,Crazy On You,Heart
1978,F#:hdim7,9,VI,hdim7,crazyonyou,heart,Crazy On You,Heart
